rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
4,spotify:track:7qnR06N2Ekj9iBOQHiFqdq,Essam Sasa,مسا مني ليكوا,Krakeb Entertainment,1,4,43,221950,11,2023
5,spotify:track:5kdlxZ5skOYY3VK8RlfEIZ,Wegz,البخت,Takwene,1,8,89,220109,11,2023
1,spotify:track:6m8vcn1JPflk8xBoFsaPDP,Marwan Pablo,El Mabda2,Quality Clique,1,4,2,481846,12,2023
2,spotify:track:7ME2ZENU0G5H7IlnPbWvOv,Mahmoud El Leithy /  Essam Sasa,سيبك من اللي خلع - من فيلم حمص وحلاوة,El Sobky proudctions,1,1,9,452596,12,2023
3,spotify:track:3vPePoOiJnSDLyqD3Hvrcr,Kimo Eldeeb /  Essam Sasa,يا قلبي لا محبتكش ( لماذا قلبي نبضو قل ),Mahrganat - كيمو الديب - kimo ElDeeb,2,2,3,358275,12,2023
4,spotify:track:0ZGmHDAUSgGV5mCUbtYFe7,Marwan Pablo,Matafetch,Quality Clique,4,12,2,345879,12,2023
5,spotify:track:6g95dK7o7vVh8ZCnDAseU5,Sherine,كلام عينيه,Sherine Abd El-wahab,2,3,14,281587,12,2023
1,spotify:track:3uwYsiS1nnYDfVQMBbdX2B,Eslam Kabonga /  Kalosha,ايوا يا حبيبتي وحشتينى,اسلام كابونجا,1,3,18,424067,1,2024
2,spotify:track:1qhODkCMlYY22JflCKJQnz,Eslam Kabonga,اللي نفسه فيا بيتي ميتوهش,Tecno,2,2,11,383926,1,2024
3,spotify:track:7ME2ZENU0G5H7IlnPbWvOv,Mahmoud El Leithy /  Essam Sasa,سيبك من اللي خلع - من فيلم حمص وحلاوة,El Sobky proudctions,1,1,14,362546,1,2024
4,spotify:track:3vPePoOiJnSDLyqD3Hvrcr,Kimo Eldeeb /  Essam Sasa,يا قلبي لا محبتكش ( لماذا قلبي نبضو قل ),Mahrganat - كيمو الديب - kimo ElDeeb,2,4,8,300880,1,2024
5,spotify:track:6g95dK7o7vVh8ZCnDAseU5,Sherine,كلام عينيه,Sherine Abd El-wahab,2,6,19,271226,1,2024
1,spotify:track:2Heqj9jtxarmecKxycGSWn,Tamer Ashour,هيجيلي موجوع,Tamer Ashour,1,1,4,659712,2,2024
