rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:29m79w9xPMH4YCD6r8JSmV","AP Dhillon, Gurinder Gill, Intense","Excuses","RUN-UP RECORDS",1,5,12,"4581879"
2,"spotify:track:2rOnSn2piaqLAlYjtfUBlY","Tanishk Bagchi, Jubin Nautiyal, Asees Kaur","Raataan Lambiyan (From ""Shershaah"")","Sony Music Entertainment India Pvt. Ltd.",1,1,24,"3369701"
3,"spotify:track:2YmXGUx32C3CUEgcAyHcGf","Devi Sri Prasad, Sid Sriram, Chandra Bose","Srivalli (From ""Pushpa - The Rise"")(Telugu)","Aditya Music",3,11,13,"2895588"
4,"spotify:track:72zHuDxFQTjbL51qJQSA7j","Jasleen Royal, B Praak, Romy","Ranjha (From ""Shershaah"")","Sony Music Entertainment India Pvt. Ltd.",1,2,23,"2859653"
5,"spotify:track:5pcmtf1lwrMqmAWWm248fY","AP Dhillon, Gurinder Gill","DESIRES","RUN-UP RECORDS",4,4,8,"2666225"
6,"spotify:track:1iZLpuGMr4tn1F5bZu32Kb","Harrdy Sandhu","Bijlee Bijlee","Universal Music India Pvt Ltd. – Distribution",2,3,11,"2515618"
7,"spotify:track:3UhmuWcFaLS3AO3kI9ynQ2","AP Dhillon, Shinda Kahlon, Gurinder Gill, Gminxr","Insane","RUN-UP RECORDS",7,9,39,"2387825"
8,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",8,10,26,"2182631"
9,"spotify:track:6TClJ8jXi3OBV7gcrU3jx5","AP Dhillon, Gurinder Gill","TERE TE","RUN-UP RECORDS",7,7,8,"2182323"
10,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,6,27,"2138861"
11,"spotify:track:4ZUxhQNRCzlh6alqBHPNRC","Devi Sri Prasad, Mounika Yadav, Chandra Bose","Saami Saami (From ""Pushpa - The Rise"")(Telugu)","Aditya Music",11,13,11,"2026847"
12,"spotify:track:2NTVtNcpC0i1R7LVGaCZCF","Badshah, Nikhita Gandhi","Jugnu","Universal Music India Pvt Ltd.",5,8,11,"1936386"
13,"spotify:track:3szxldqiYs7nkvtmooRod8","Devi Sri Prasad, Indravathi Chauhan, Chandra Bose","Oo Antava Oo Oo Antava (From ""Pushpa - The Rise"")(Telugu)","Aditya Music",10,17,5,"1796693"
14,"spotify:track:3gOXq3FPPesm7VLPKmef6j","Arijit Singh, Shashaa Tirupati","Rait Zara Si","T-Series",12,12,6,"1792030"
15,"spotify:track:58f4twRnbZOOVUhMUpplJ4","AP Dhillon, Gminxr, Gurinder Gill, Shinda Kahlon","Brown Munde","Run-up Records",1,18,60,"1736131"
16,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",6,14,25,"1630409"
17,"spotify:track:0yCWDaAgOtg6TKlNCg9rwA","King","Tu Aake Dekhle","Warner Music India",6,15,50,"1585942"
18,"spotify:track:4gvrJnKCKIPiacNsWVQwEU","CKay, Dj Yo!, AX'EL","love nwantiti (feat. Dj Yo! & AX'EL) - Remix","WM South Africa",4,16,17,"1549372"
19,"spotify:track:7xeE24WnWUXDwgqGiaeshi","Shubh","We Rollin","SHUBH",13,19,9,"1518643"
20,"spotify:track:0tpwqQhdfJXRcUDSNRjb9O","Arijit Singh, Neeti Mohan, Rashmi Virag","Mere Yaaraa (From ""Sooryavanshi"")","T-Series",20,22,11,"1451738"
21,"spotify:track:3D0pmiK3zyF9PudyJ8mkor","AP Dhillon, Amari","Ma Belle","RUN-UP RECORDS",18,29,26,"1372950"
