rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
67,"spotify:track:5XeFesFbtLpXzIVDNQP22n","Arctic Monkeys","I Wanna Be Yours","Domino Recording Co",48,59,69,"1662992"
68,"spotify:track:3WLJ7D5kh44K5eJ1NqZQ6W","Anuv Jain","Baarishein","Universal Music India Pvt. Ltd. (on behalf of Anuv Jain)",18,64,147,"1662867"
69,"spotify:track:2q9lPN7CT92W1Ry77j2acn","Pritam, Arijit Singh, Shreya Ghoshal, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya","Ve Kamleya","Saregama India Ltd",32,65,30,"1661603"
70,"spotify:track:3HiobOOpSpMsi95WBKPBYk","Jeet Gannguli, Arijit Singh","Hamari Adhuri Kahani (Title Track)","Sony Music Entertainment India Pvt. Ltd.",56,75,121,"1656118"
71,"spotify:track:4wIWWEhbdgKAxhR68eE0Ye","Arijit Singh, Chinmayi","Mast Magan (From ""2 States"")","T-Series",45,49,159,"1651596"
72,"spotify:track:2GXXZFUxYg2LvG8SR0byOE","Sachin-Jigar, Atif Aslam","Jeena Jeena","Eros Now Music",37,55,136,"1639676"
73,"spotify:track:5rpCUsEfBLIumvrxrahnKF","Hasan Raheem, Umair, Talwiinder","Wishes","1698613 Records DK2",60,60,13,"1637016"
74,"spotify:track:4u0D2jZ20wQaEMHBSqsDnZ","King","Tu Jaana Na Piya","Warner Music India",15,66,19,"1625185"
75,"spotify:track:6wkHR8cU4INbp145hngbQO","Sukha, Chani Nattan, Prodgk, Gurlez Akhtar","8 ASLE","SODHI MUSIC INC.",53,63,11,"1607801"
76,"spotify:track:0gPgdRfB4jdGrlyXS0Vx78","Vishal-Shekhar, KK, Shilpa Rao, Anvita Dutt Guptan","Khuda Jaane","YRF Music",37,73,74,"1598899"
77,"spotify:track:5BKKKNwrebowaMoUdBaNby","King","Tu Aake Dekhle","Warner Music India",3,72,162,"1597314"
78,"spotify:track:3dpM3ijJz0vGzbkh5DcMXz","Payal Dev, Vishal Mishra, A.M. Turaz","Naseeb Se (From ""Satyaprem Ki Katha"")","T-Series",44,70,40,"1590524"
79,"spotify:track:7ouBSPZKQpm7zQz2leJXta","Arijit Singh","Tum Hi Ho (From ""Aashiqui 2"")","T-Series",44,74,162,"1567480"
80,"spotify:track:4blqlsA1uf2d2I40E90EUC","Pritam, Arijit Singh, Shilpa Rao","Tere Hawaale (From ""Laal Singh Chaddha"")","T-Series",11,81,54,"1551300"
81,"spotify:track:7MXVkk9YMctZqd1Srtv4MB","The Weeknd, Daft Punk","Starboy","Universal Republic Records",12,86,136,"1536241"
82,"spotify:track:4OcvkkpF3xmyCGGY5IBlgi","Akhil Sachdeva, Tulsi Kumar","Tera Ban Jaunga (From ""Kabir Singh"")","T-Series",4,101,234,"1536228"
83,"spotify:track:4H1FLy4H7nS9wy9gg9JeFQ","Santhosh Narayanan, Dhvani Kailas, Vivek","Unakku Thaan - From ""Chithha""","Think Music",11,54,13,"1532929"
84,"spotify:track:5G7pZ8G8NFvS1MQ9H4L7dC","Javed-Mohsin, Arijit Singh, Shreya Ghoshal, Kunaal Vermaa, Prashant Ingole","Pal","Sony Music Entertainment India Pvt. Ltd.",34,83,261,"1512022"
85,"spotify:track:0xIuPDzJSnJywALez8dwKR","AP Dhillon","With You","Mass Appeal India",2,79,30,"1510713"
86,"spotify:track:3bQsp4Vr9Rg4fNCx6HPOgX","Anuv Jain","Alag Aasmaan","Universal Music India Pvt. Ltd. (on behalf of Anuv Jain)",30,67,25,"1491848"
87,"spotify:track:4uK0M8AI6gyFmyzUneQpbi","A.R. Rahman, Arijit Singh, Shashaa Tirupati","Rait Zara Si (From ""Atrangi Re"")","T-Series",12,87,109,"1489945"
88,"spotify:track:4VosVUajzm6nzGlSb6nP3L","Parmish Verma, Paradox","Check It Out","SDA Studios",19,112,34,"1487053"
89,"spotify:track:3APdIdF8H0jsxSuGOqXedS","Rashid Ali","Kabhi Kabhi Aditi","T-Series",73,82,106,"1478728"
90,"spotify:track:5W7DOVGQLTigu09afW7QMT","Sidhu Moose Wala","295","Sidhu Moose Wala",1,92,108,"1476328"
91,"spotify:track:7yyCCfalLx9F8TbMo5jH03","Rasraj Ji Maharaj","Bajrang Baan-Lofi","Vianet Media",89,100,3,"1468179"
