rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3b4dQtIVyVhQdbYVfrik0k","Anson Lo 盧瀚霆","永順街39號","Music Nation Records Co Ltd.",1,1,4,"317235"
2,"spotify:track:172oAbLGpgeCsukno7oBRe","Keung To","風雨不改 (電影《阿媽有咗第二個》主題曲)","EEG Music",1,2,17,"309030"
3,"spotify:track:11IqNbLOD4s4nVYSuEttFR","Keung To","Dear My Friend,","Music Nation Records Co. Ltd.",1,3,70,"276549"
4,"spotify:track:1dBroK67DSaaEE5kvkVjzG","Keung To","作品的說話","Music Nation Records Co Ltd.",1,5,32,"265765"
5,"spotify:track:48yFnEAkBdOmqvhZ6NaR4U","Dear Jane","到底發生過什麼事","WM Hong Kong",1,4,7,"257097"
6,"spotify:track:4umaD9GJDZMihD9mal7vd1","Keung To","鏡中鏡","Music Nation Records Co. Ltd.",3,6,49,"233270"
7,"spotify:track:2lMVTk3I232dE7jnkufOSt","MC 張天賦","老派約會之必要","WM Hong Kong",1,7,21,"217214"
8,"spotify:track:4pnqbvjkdoIKUzmfr1bUho","Anson Lo 盧瀚霆","Mr. Stranger","Music Nation Records Co Ltd.",4,8,41,"206553"
9,"spotify:track:39HrUxcvKF3jtLz7fUDWXc","Hikaru Utada","First Love","Universal Music LLC",9,18,2,"199253"
10,"spotify:track:2vJreatDgwtXWKpkqpPUZ3","陳卓賢 Ian","地球上的最後一朵花","Music Nation Records Co. Ltd.",4,9,6,"181441"
11,"spotify:track:1UJYWfzyPjRwmlCawgJroV","Anson Lo 盧瀚霆","King Kong","Music Nation Records Co Ltd.",4,11,27,"175312"
12,"spotify:track:6rLZknU66zYG9Q2NI4fCYl","Keung To","無人不知的戰果 (ViuTV劇集: 季前賽主題曲)","Music Nation Records Co Ltd.",7,10,3,"171574"
13,"spotify:track:1ZrnCyms7CBYsCvkkVIkt8","MC 張天賦","記憶棉","WM Hong Kong",1,12,59,"170944"
14,"spotify:track:6flgMTTqhbJSNryAPCYcvA","陳卓賢 Ian","留一天與你喘息","Music Nation Records Co. Ltd.",1,13,43,"163134"
15,"spotify:track:2rbbJ2xZFJa2DriR5h0TBS","陳卓賢 Ian","Distance","Music Nation Records Co. Ltd.",6,14,21,"130330"
16,"spotify:track:433FK3gktWwmjkAPMSqVNO","MC 張天賦","時候不早","WM Hong Kong",2,16,52,"122879"
17,"spotify:track:33bb4ipPqbeTdZLOAix27Z","Anson Lo 盧瀚霆","Megahit","Music Nation Records Co. Ltd.",4,17,64,"118683"
18,"spotify:track:2P5Eeh29qJrYa1T27cdL3B","MC 張天賦","反對無效","WM Hong Kong",2,19,79,"112550"
19,"spotify:track:6K6L5LL0lvfGGEqJxDavTn","Jer 柳應廷","坐看雲起時","Music Nation Records Co Ltd.",15,15,2,"110009"
20,"spotify:track:2pFkBa11TZLwI4t4uzIWdi","陳卓賢 Ian","Got U","Music Nation Records Co. Ltd.",7,20,32,"105579"
21,"spotify:track:3U1sSlezn9BdzqsEx4VfHT","MC 張天賦","小心地滑","WM Hong Kong",1,23,35,"99309"
22,"spotify:track:5zwwW9Oq7ubSxoCGyW1nbY","BLACKPINK","Pink Venom","YG Entertainment/Interscope Records",1,24,16,"89532"
23,"spotify:track:0V3wPSX9ygBnCm8psDIegu","Taylor Swift","Anti-Hero","Taylor Swift",9,21,7,"88444"
