rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:55qPuI6NekVyNPM6kh5DN4","BESS","Ram pam pam","Universal Music Oy",1,1,4,"484642"
2,"spotify:track:5YW76GVS51KRAbMkaIPYni","Lauri Tähkä","Nukkuvat aamut","WM Finland",2,-1,1,"329086"
3,"spotify:track:6YFcvJlcgQceRfJrVpmJa0","Olli Halonen","Pohjola","WM Finland",1,2,36,"318167"
4,"spotify:track:7yLhuElA3Ooa4Z2Ymdsx5q","Adi L Hasla, costee","Levottomat tuulet (feat. costee)","Sony Music Entertainment Finland",3,3,3,"242406"
5,"spotify:track:1SOClUWhOi8vHZYMz3GluK","Jaymes Young","Infinity","Atlantic Records",5,6,18,"203535"
6,"spotify:track:2DfVvs2EZd82PvqOfdpJB4","YOUNGHEARTED","Sun numero","WM Finland",4,4,4,"200124"
7,"spotify:track:3EfMGeYXw69Saa14torWpK","Cledos, ibe, Averagekidluke, A36","Samma gamla vanliga - Remix","WM Sweden",1,7,22,"198154"
8,"spotify:track:3Y7r2Cb5ynmMR18O0yJUM5","JVG","Vamos","WM Finland",1,5,5,"191520"
9,"spotify:track:4fouWK6XVHhzl78KzQ1UjL","GAYLE","abcdefu","Atlantic/Arthouse Records",1,8,13,"182261"
10,"spotify:track:1HhNoOuqm1a5MXYEgAFl8o","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","Kid Ina Korner / Interscope",9,9,15,"177040"
11,"spotify:track:18asYwWugKjjsihZ0YvRxO","Tiësto, Ava Max","The Motto","Atlantic Records",11,12,14,"162711"
12,"spotify:track:2K7xn816oNHJZ0aVqdQsha","The Neighbourhood","Softcore","Columbia",8,11,6,"162599"
13,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",7,15,54,"156414"
14,"spotify:track:50nfwKoDiSYg8zOCREWAm5","Ed Sheeran","Shivers","Atlantic Records UK",2,13,22,"156141"
15,"spotify:track:7CxVS4qw9jt8BniDyvGsJc","Jannika B","Mania","Universal Music Oy",15,-1,1,"154879"
16,"spotify:track:18Z5zHSRqff3Od3dkbj1xj","Gettomasa","Hyvä me","PME Records",2,10,4,"148524"
17,"spotify:track:2gpWyfu7eZ01zzncHpxOtA","Swedish House Mafia, The Weeknd","Moth To A Flame (with The Weeknd)","Republic Records",3,19,16,"146950"
18,"spotify:track:4N84bVnNycTXiuoKZFEXrD","Portion Boys, Matti ja Teppo","Vauhti kiihtyy (feat. Matti ja Teppo)","Sony Music Entertainment Finland",1,16,35,"146156"
19,"spotify:track:2h5UqcO6ZAlfY7TavWlRAr","Nelli Matula","Limbo","Universal Music Oy",5,14,4,"146151"
20,"spotify:track:63hKnwYYmoR9CxKzdthRHG","Aste, EME","Mikä-Mikä-Maa (feat. EME)","Sony Music Entertainment Finland",20,20,9,"144268"
21,"spotify:track:5rW7qTn83sCKtqBoneJs63","bbno$, Rich Brian","edamame","bbno$",9,18,26,"137704"
22,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,21,31,"134645"
23,"spotify:track:0e8nrvls4Qqv5Rfa2UhqmO","Lil Nas X","THATS WHAT I WANT","Columbia",9,26,21,"126681"
24,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",18,24,27,"125513"
25,"spotify:track:60EXSCcZL24IZikBt4256W","KUUMAA","Oo vielä sekunnin mun","Universal Music Oy",25,27,9,"125202"
26,"spotify:track:3YgOwQsqjzXIWzTwPPQz98","Evelina","Kyynelii","Universal Music Oy",3,22,5,"122149"
27,"spotify:track:3XWTJgRk4FfgiRnGXwdCt3","Erin","Anna mun rakastaa","WM Finland",8,35,5,"118315"
28,"spotify:track:7rglLriMNBPAyuJOMGwi39","Elton John, Dua Lipa, PNAU","Cold Heart - PNAU Remix","EMI",15,25,26,"117790"
29,"spotify:track:1IkpXyhRn31NG6VOIsARqj","Turisti","Gunshit","Skorpioni",29,-1,1,"114156"
30,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",5,28,29,"112960"
31,"spotify:track:357JgDad80qVDg23D2GI63","AHTI, Aksel Kankaanranta","Matkustaja (feat. Aksel Kankaanranta)","WM Finland",11,23,21,"110741"
32,"spotify:track:2B4GHvToeLTOBB4QLzW3Ni","Farruko","Pepas","Sony Music Latin",24,30,21,"109453"
33,"spotify:track:3rmo8F54jFF8OgYsqTxm5d","Ed Sheeran","Bad Habits","Atlantic Records UK",1,32,33,"108540"
34,"spotify:track:0xfMlIW8lS40qvpsUw1l0X","Kungs","Never Going Home","Universal Music Division Island Def Jam",21,34,21,"106199"
35,"spotify:track:2NehRqeFiEGV72lFfqJGUn","The Rasmus","Jezebel","Playground Music",6,17,4,"104647"
36,"spotify:track:46IZ0fSY2mpAiktS3KOqds","Adele","Easy On Me","Columbia",1,31,17,"103459"
37,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",37,37,7,"102554"
38,"spotify:track:2LGHc5OI7tWamZd7JoOfll","Sexmane, Ege Zulu, Pessa","Vastaaja (feat. Ege Zulu & Pessa)","Sony Music Entertainment Finland",38,49,12,"100073"
39,"spotify:track:1RCQAeceDgtbD7WVLWr05S","Haloo Helsinki!","Reiviluola","Vallila Music House",2,33,22,"99067"
40,"spotify:track:20on25jryn53hWghthWWW3","ACRAZE, Cherish","Do It To It","Thrive Music, LLC",18,36,14,"98298"
41,"spotify:track:0IuVhCflrQPMGRrOyoY5RW","Tate McRae","she's all i wanna be","RCA Records Label",41,-1,1,"97897"
42,"spotify:track:52xJxFP6TqMuO4Yt0eOkMz","Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast","We Don't Talk About Bruno","Walt Disney Records",42,43,7,"94956"
43,"spotify:track:08EMclZsu3ZwuQxlVcsAXI","VIIVI","Hyväuskoinen","WM Finland",2,44,14,"93059"
