rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3j1453KrdHjw7y4gnBj7nF","Geolier, Michelangelo","I P’ ME, TU P’ TE","Warner Music",1,-1,1,"4108882"
2,"spotify:track:654Jxp6rUFgPckixlIusRJ","Mahmood","TUTA GOLD","Universal Music Italia srL.",2,-1,1,"3370643"
3,"spotify:track:2O7jON0xYyTaSkWj9wZXCJ","Annalisa","Sinceramente","Warner Music",3,-1,1,"3140953"
4,"spotify:track:49R1F3rIdSzuPk7AcHi6d1","Angelina Mango","la noia","Latarma S.r.l.",4,-1,1,"2758378"
5,"spotify:track:5mQTzYTDDob48mOP3U9k7Q","Irama","Tu No","Warner Music",5,-1,1,"2648983"
6,"spotify:track:2cpZJsQFxwHvBF0KB5dCaB","Gazzelle","Tutto Qui","Warner Music",6,-1,1,"2080620"
7,"spotify:track:6bN41HjY008ggroMFxNLaa","Sfera Ebbasta, Geolier, Simba La Rue, Baby Gang","Calcolatrici","Universal Music Italia srL.",1,1,12,"2056891"
8,"spotify:track:60NDVF7fFIq13aO9rIN80c","The Kolors","UN RAGAZZO UNA RAGAZZA","Warner Music",8,-1,1,"1918085"
9,"spotify:track:4cWrKV5SN7AknqPy4ryBDG","Ghali","Casa Mia","Warner Music",9,-1,1,"1822449"
10,"spotify:track:2CHUSuvnHXjLTGdX6Bz6fv","Rhove, ANNA","Petit Fou Fou (feat. ANNA)","Universal Music Italia srL.",3,3,8,"1738510"
11,"spotify:track:6m4z69VDQ7zB2JQzTeWNom","Mr.Rain","DUE ALTALENE","Warner Music",11,-1,1,"1722256"
12,"spotify:track:1MwyUklCSLF8heoph2ttFe","Loredana Bertè","Pazza","Warner Music",12,-1,1,"1663177"
13,"spotify:track:1F2rElyIiwgnq3TM2LN3ag","Emma","APNEA","Universal Music Italia srL.",13,-1,1,"1617903"
14,"spotify:track:05wb6MEyJeG2z1MVCIXxC8","Sfera Ebbasta, Marracash","15 Piani","Universal Music Italia srL.",1,4,12,"1596408"
15,"spotify:track:02fHDy3xEetr1EX6qw3Cas","Alfa","Vai!","Artist First",15,-1,1,"1587204"
16,"spotify:track:2QieMRkH51KbJw4ZauGJfY","AVA, Capo Plaza, Tony Boy","MOON (feat. Capo Plaza & Tony Boy)","Warner Music",2,2,3,"1546125"
17,"spotify:track:2gGq8fqoGuKpCjuV7p2dd3","Massimo Pericolo, Emis Killa","Moneylove (feat. Emis Killa)","Epic",1,5,10,"1534013"
18,"spotify:track:37WCMrX9XnmmPCMY0aqZjo","Alessandra Amoroso","Fino a qui","Epic",18,-1,1,"1530621"
19,"spotify:track:20bTkdvyWZjO4ORHmzXQR4","Takagi & Ketra, Shiva, ANNA, Geolier","EVERYDAY (feat. Shiva, ANNA, Geolier)","Columbia",1,7,17,"1524779"
20,"spotify:track:1M7CwtrWZ24mopNdDPB3DM","Simba La Rue, FT Kings","TUNNEL","Warner Music",1,10,5,"1499885"
21,"spotify:track:2PO4ThUKzIa4rBLsFkyInU","Rose Villain","CLICK BOOM!","Warner Music",21,-1,1,"1488601"
22,"spotify:track:5rmWxr4qgejVuLWwxNzISC","Dargen D'Amico","Onda Alta","Universal Music Italia srL.",22,-1,1,"1488344"
23,"spotify:track:3ZcpVnBJguv1WVeMG44i2M","LA SAD","AUTODISTRUTTIVO","La Sad Ent.",23,-1,1,"1476744"
24,"spotify:track:5WssaPhjCCUFBMk9PpnHYj","Sfera Ebbasta, Elodie","Anche Stasera","Universal Music Italia srL.",5,9,12,"1455631"
25,"spotify:track:6mhZd9yNJpyT2Qynx9FuhI","Il Tre","FRAGILI","Warner Music",25,-1,1,"1378415"
26,"spotify:track:5x9LonDyHxGUO2VzfHJHLE","Geolier","COME VUOI","Columbia",5,12,57,"1360646"
27,"spotify:track:5B5p5w9QV0QFBsnASmtL24","Mida","ROSSOFUOCO","Dinero",7,11,13,"1331342"
28,"spotify:track:3To8zpX92dTdhtORefjgyV","CLARA","DIAMANTI GREZZI","Warner Music",28,-1,1,"1263875"
29,"spotify:track:6SSv0mVOX54GMKtIOrKpI1","Artie 5ive, Rondodasosa","BOULEVARD","Warner Music",13,13,5,"1232055"
30,"spotify:track:2orGI5VXRF4uplYVuvdRyU","Club Dogo, Marracash","Nato Per Questo (feat. Marracash)","Universal Music Italia srL.",2,6,4,"1223684"
31,"spotify:track:0ksqA7waEGNDkGkmRz0Gwj","Club Dogo, Sfera Ebbasta","Milly (feat. Sfera Ebbasta)","Universal Music Italia srL.",1,8,4,"1207648"
32,"spotify:track:3U5JVgI2x4rDyHGObzJfNf","Natasha Bedingfield","Unwritten","Sony Music CG",32,38,2,"1198248"
33,"spotify:track:34YxYcGtsAzI1K0SNAWMn1","Yung Snapp, Geolier","Kiss You (F**k You) [feat. Geolier]","Warner Music",20,20,23,"1192992"
34,"spotify:track:40RfNjN5fm9DhlLAYkF6RL","Diodato","Ti muovi","Carosello Records",34,-1,1,"1130503"
35,"spotify:track:5omIW7YOPhA6CULhkdz6jE","Tedua, Baby Gang, Kid Yugi","Paradiso Artificiale (feat. Baby Gang & Kid Yugi)","Epic",2,18,36,"1118467"
36,"spotify:track:4Y60H8heDsEpQ2hin2g6V5","Don Pero","Baby Mama","Pulp Entertainment",22,23,50,"1117179"
37,"spotify:track:6RgeK0h4fZ7JRSqbVwPG3Q","Negramaro","Ricominciamo tutto","Universal Music Italia srL. (Sugar)",37,-1,1,"1107908"
38,"spotify:track:6GMyR5UghG6k4MpsXsaim8","Boro, Artie 5ive, Andry The Hitmaker","Cadillac (feat. Artie 5ive)","Universal Music Italia srL.",1,15,20,"1097420"
39,"spotify:track:242NmD3BqOefyiOZQy2MT2","Sfera Ebbasta","VDLC","Universal Music Italia srL.",2,16,12,"1076373"
40,"spotify:track:2HafqoJbgXdtjwCOvNEF14","iñigo quintero","Si No Estás","Acqustic",3,14,19,"1072603"
41,"spotify:track:7yS8LfvvFEhtGhKLk29j5a","Calcutta ","2minuti","Bomba Dischi - Puro Srl",8,17,16,"1062285"
42,"spotify:track:3VtGh8xE9qRsFyY2Uj1WG3","Tedua, Sfera Ebbasta","Hoe (feat. Sfera Ebbasta)","Epic",1,24,36,"1038191"
43,"spotify:track:4QBfVk60RIBQg1uyox78Kh","Tedua, Capo Plaza","Parole Vuote (La Solitudine) (feat. Capo Plaza)","Epic",4,21,11,"1010311"
44,"spotify:track:1K9qAxGT4cWUicf2OezSen","AVA, ANNA, Capo Plaza","VETRI NERI","Warner Music",1,19,38,"1003036"
45,"spotify:track:2c0lqanQ7Yz8f7VaAfgqqt","sangiovanni","finiscimi","Universal Music Italia srL. (Sugar)",45,-1,1,"999808"
46,"spotify:track:6SiJ1o6148rcmF2BydC1LW","Bresh, Pinguini Tattici Nucleari","Nightmares","Epic",4,25,19,"988823"
47,"spotify:track:1w91YxaRwTShkKe4apYf3r","Marracash, Guè","Insta Lova","Universal Music Italia srL.",1,22,44,"986530"
48,"spotify:track:7He9P5gjaE4cmQOquezZnl","bnkr44","GOVERNO PUNK","Universal Music Italia srL.",48,-1,1,"960214"
49,"spotify:track:7Da5kjy5GByLHE5OPQ4tpg","Geolier, Marracash","IL MALE CHE MI FAI (feat. Marracash)","Columbia",1,35,44,"957739"
50,"spotify:track:2JUU42QK11jwb6C99VnRl4","Fred De Palma","IL CIELO NON CI VUOLE","Warner Music",50,-1,1,"919278"
51,"spotify:track:6tNQ70jh4OwmPGpYy6R2o9","Benson Boone","Beautiful Things","Night Street Records, Inc./Warner Records Inc.",51,187,2,"910928"
52,"spotify:track:0lqGKcPzUX4RO4PYysoLes","Sfera Ebbasta, Lazza, Shiva","G63","Universal Music Italia srL.",3,27,12,"903140"
53,"spotify:track:20qlAd6sHAYjc7TrrM5VeY","Angelina Mango","che t'o dico a fa'","Latarma S.r.l.",6,42,18,"894365"
54,"spotify:track:6QnX3AZkvOzwQt0fdS6cZT","SANTI FRANCESI","l'amore in bocca","Epic",54,-1,1,"883681"
55,"spotify:track:6tP2AFUZkz4PuUfssawUBn","Drillionaire, Lazza, BLANCO, Sfera Ebbasta, Michelangelo","BON TON (feat. Lazza, Blanco, Sfera Ebbasta & Michelangelo)","Universal Music Italia srL.",2,29,33,"873674"
56,"spotify:track:0eUgmndC1CN1eijY6EKSaE","VillaBanks","Papaya","Universal Music Italia srL.",2,31,23,"850694"
57,"spotify:track:7eJmxii4Ez8scjzDF0V9v6","Il Volo","Capolavoro","Epic",57,-1,1,"848920"
58,"spotify:track:5FV2fsK9sFL4D5uwX8zAgk","Fiorella Mannoia","Mariposa","Epic",58,-1,1,"839794"
59,"spotify:track:3RgpMcg7uRz9b4Sbn1iXec","Il Pagante, VillaBanks","Spingere","EVentures",28,28,3,"838587"
60,"spotify:track:2qrCResILkL1JFeRBrv3qA","Alfa","bellissimissima <3","Artist First",4,39,39,"836969"
61,"spotify:track:0CjNKLqvr5tDvepagOIKlu","BigMama","La rabbia non ti basta","Epic",61,-1,1,"826358"
62,"spotify:track:3G5VUAzCpvaaWEMk9NkHFT","Calcutta ","Tutti","Bomba Dischi - Puro Srl",12,32,16,"806299"
63,"spotify:track:1kZLATTXQa5BtEKH8GbW2U","Tedua","Red Light","Epic",8,33,36,"789835"
64,"spotify:track:1bZIs6zAOtFJLORZVojCUH","Ricchi E Poveri","Ma non tutta la vita","DM Produzioni licensed to Carosello Records",64,-1,1,"786091"
65,"spotify:track:4nKyIs9RnHzRJSyM5x7BEU","Massimo Pericolo, Tedua","Straniero (feat. Tedua)","Epic",8,43,10,"776197"
66,"spotify:track:7HyJYGyYCU7M9VCaOwbFg6","Medy, Capo Plaza","Ricordi Sbiaditi (feat. Capo Plaza)","Columbia",24,41,8,"765546"
67,"spotify:track:3rUGC1vUpkDG9CZFHMur1t","Tate McRae","greedy","RCA Records Label",44,44,20,"765528"
68,"spotify:track:35Bz9Lr74rowqcNxr3EpAS","Club Dogo","King Of The Jungle","Universal Music Italia srL.",5,26,4,"757265"
69,"spotify:track:0mHC3BK9vFGoEU0EcGPWRZ","Lazza","CENERE","Universal Music Italia srL.",1,55,53,"754260"
70,"spotify:track:6BhhV1ImaKVr1YwsyYIBWJ","Simba La Rue, Sfera Ebbasta, FT Kings","BÂTIMENT (feat. Sfera Ebbasta)","Warner Music",4,36,5,"750132"
71,"spotify:track:0YI32qkEhhUjoGVMGXDm8b","Artie 5ive, ANNA","ANELLI E COLLANE (feat. ANNA)","Trenches Records Ent.",10,40,40,"749813"
72,"spotify:track:5YdpLxge3UzTHymkQ6XCf4","Neima Ezza, Dystopic, Emis Killa","Due principi (feat. Emis Killa)","Epic Local",37,37,2,"738338"
73,"spotify:track:0uXDSAM6q44glALKnQQyqW","Rose Villain, Geolier","Fantasmi (feat. Geolier)","Columbia",24,68,55,"735055"
74,"spotify:track:4OMJGnvZfDvsePyCwRGO7X","Dua Lipa","Houdini","Warner Records",35,53,13,"730562"
75,"spotify:track:4Z43nMEiOiNeDrqu2BN0JD","Coez","La tua canzone","Carosello Records",25,51,60,"724570"
76,"spotify:track:6qECCt8d4AQt0cEv307MLa","Club Dogo","C’era Una Volta In Italia","Universal Music Italia srL.",3,30,4,"706836"
77,"spotify:track:4pl1S8uglG2vYJ45IIgIo2","Simba La Rue, Ghali, FT Kings","SOLDI A CASA (feat. Ghali)","Warner Music",10,48,5,"706312"
78,"spotify:track:2tTmW7RDtMQtBk7m2rYeSw","Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52","DALE PLAY Records",1,47,81,"704809"
79,"spotify:track:7nRFsITVaSHko2Fw2Gcy59","Gazzelle","Destri","Artist First / Maciste Dischi",2,59,176,"692788"
80,"spotify:track:7LGXYz8Msr0ra2XggR8F3b","Renga Nek, Francesco Renga, Nek","Pazzo di te","Epic",80,-1,1,"674591"
81,"spotify:track:2E32Pv8w20r6ZH4oFecxOf","Geolier, Sfera Ebbasta","X CASO (feat. Sfera Ebbasta)","Columbia",1,76,57,"665501"
82,"spotify:track:4midGjEpVz0mYkIdQMFX3l","Geolier, Lazza, Takagi & Ketra","CHIAGNE (feat. Lazza & Takagi & Ketra)","Columbia",1,61,67,"665414"
83,"spotify:track:3KRwYDQt79HltHM1YHzQbl","Ghali, Simba La Rue","Machiavelli (feat. Simba La Rue)","Warner Music",32,54,10,"664837"
84,"spotify:track:2EIYXCGhXGo0yXf6vazlJR","Maninni","SPETTACOLARE","STARPOINT",84,-1,1,"663693"
85,"spotify:track:3X6QTmtaKukOu5lISJYi4g","Matteo Paolillo, Lolloflow, CLARA","ORIGAMI ALL'ALBA - CLARA","Flamingo Management",4,-1,36,"661339"
86,"spotify:track:52eIcoLUM25zbQupAZYoFh","21 Savage","redrum","Slaughter Gang, LLC/Epic Records",50,50,4,"660332"
87,"spotify:track:1ytp1BZurhOk14vErLhivu","Coez, Frah Quintale","Alta marea","Carosello/WM Italy",11,49,34,"659071"
88,"spotify:track:4tKGFmENO69tZR9ahgZu48","Sophie Ellis-Bextor","Murder On The Dancefloor","Polydor Records",46,46,5,"653316"
89,"spotify:track:3mMjLv3IyxlEKmXg3JxCI5","Pinguini Tattici Nucleari","Rubami la Notte","Columbia",5,62,38,"651273"
90,"spotify:track:5aCfe1vmMzmCc916WKWar3","Club Dogo","Mafia Del Boom Bap","Universal Music Italia srL.",4,34,4,"650015"
91,"spotify:track:2ySUSHhkltyM9LGaFbFXbj","Club Dogo, Elodie","Soli A Milano (feat. Elodie)","Universal Music Italia srL.",8,45,4,"632065"
