rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
1,spotify:track:5ycsqezujKrwviU3VFhci1,Asake,Terminator,YBNL Nation / EMPIRE,1,1,3,318437,9,2022
2,spotify:track:2qWwuCVeMjF9mUT0S5Iqvl,Fireboy DML /  Asake,Bandana,YBNL Nation / EMPIRE,1,2,9,217519,9,2022
3,spotify:track:6ewsOjbC1jWAZcjAhVxDs0,Asake,Peace Be Unto You (PBUY),YBNL Nation / EMPIRE,1,12,13,212641,9,2022
4,spotify:track:6McBvfxgkVfREmQPwTKBUn,Pheelz /  Davido,Electricity,Warner Records,3,3,3,186459,9,2022
5,spotify:track:2WigMwGJysIh9fRnSJvpjn,Oxlade,KU LO SA - A COLORS SHOW,Troniq Inc,5,8,13,154298,9,2022
1,spotify:track:5UwxpuGHkwiojKDaPC5ZNu,Asake,Joha,YBNL Nation / EMPIRE,1,3,6,247011,10,2022
2,spotify:track:5ycsqezujKrwviU3VFhci1,Asake,Terminator,YBNL Nation / EMPIRE,1,2,8,246550,10,2022
3,spotify:track:1rrqJ9QkOBYJlsZgqqwxgB,Ayra Starr,Rush,Mavin Records,1,1,4,232401,10,2022
4,spotify:track:2wgvxtggKVzPkl0smF2UzI,Asake,Organise,YBNL Nation / EMPIRE,1,4,6,219486,10,2022
5,spotify:track:2qWwuCVeMjF9mUT0S5Iqvl,Fireboy DML /  Asake,Bandana,YBNL Nation / EMPIRE,1,5,14,195906,10,2022
1,spotify:track:5F4OfeowSReF93KcH2eUcG,Young Jonn,Xtra Cool,Chocolate City Music,1,2,7,272015,11,2022
2,spotify:track:0u2A4QNAMUyfQbgfVR3HvK,Kizz Daniel /  EMPIRE,Cough (Odo),EMPIRE,1,3,4,204258,11,2022
3,spotify:track:5UwxpuGHkwiojKDaPC5ZNu,Asake,Joha,YBNL Nation / EMPIRE,1,4,10,202800,11,2022
4,spotify:track:3nIj7jkWVKKmmKPdhgrddu,Wizkid,Money & Love,Starboy/RCA Records,1,1,2,194722,11,2022
5,spotify:track:5ycsqezujKrwviU3VFhci1,Asake,Terminator,YBNL Nation / EMPIRE,1,5,12,189940,11,2022
1,spotify:track:3dQBUVzA9qw3iUOfzRla8T,Mavins /  Rema /  Boy Spyce /  Crayon /  Bayanni /  Magixx /  LADIPOE /  Ayra Starr /  Johnny Drille,Won Da Mo,Mavin Records,1,4,5,270692,12,2022
2,spotify:track:7ErtOGQ9DwyQa3lwP77j4u,Ruger,Asiwaju,Promised Land Recordings,2,3,4,242833,12,2022
3,spotify:track:5F4OfeowSReF93KcH2eUcG,Young Jonn,Xtra Cool,Chocolate City Music,1,1,11,240645,12,2022
4,spotify:track:5UwxpuGHkwiojKDaPC5ZNu,Asake,Joha,YBNL Nation / EMPIRE,1,5,14,197513,12,2022
5,spotify:track:5ycsqezujKrwviU3VFhci1,Asake,Terminator,YBNL Nation / EMPIRE,1,8,16,184185,12,2022
1,spotify:track:7ErtOGQ9DwyQa3lwP77j4u,Ruger,Asiwaju,Promised Land Recordings,1,1,9,321091,1,2023
2,spotify:track:1wADwLSkYhrSmy4vdy6BRn,Omah Lay,soso,KeyQaad/Sire Records,2,12,26,252161,1,2023
3,spotify:track:5F4OfeowSReF93KcH2eUcG,Young Jonn,Xtra Cool,Chocolate City Music,1,3,16,246788,1,2023
4,spotify:track:4iL7caaYvGopP9d6hdlMAi,Zinoleesky,Personal,Marlian Music,2,2,4,234693,1,2023
5,spotify:track:5UwxpuGHkwiojKDaPC5ZNu,Asake,Joha,YBNL Nation / EMPIRE,1,4,19,195080,1,2023
1,spotify:track:79xHOEYZKZEj6fPkmhQboa,Asake,Yoga,YBNL Nation / EMPIRE - Asake,1,1,2,409990,2,2023
2,spotify:track:1wADwLSkYhrSmy4vdy6BRn,Omah Lay,soso,KeyQaad/Sire Records,1,2,30,317355,2,2023
3,spotify:track:7ErtOGQ9DwyQa3lwP77j4u,Ruger,Asiwaju,Promised Land Recordings,1,3,13,271631,2,2023
4,spotify:track:5F4OfeowSReF93KcH2eUcG,Young Jonn,Xtra Cool,Chocolate City Music,1,5,20,215619,2,2023
5,spotify:track:7zhLSGUbneW7Tm3wpp3HjY,Rexxie /  Naira Marley /  Skiibii,Abracadabra,HitxlabNG / Dvpper Music,4,4,15,215329,2,2023
1,spotify:track:0GfCR4T6WOErZOw1557ln7,Rema,Holiday,Mavin Records,1,1,3,576290,3,2023
2,spotify:track:6wuMo4ZR83PhlhXhJ1S3VY,Bnxn /  Kizz Daniel /  Seyi Vibez,GWAGWALADA,T.Y.E. / EMPIRE,2,2,4,532922,3,2023
3,spotify:track:1wADwLSkYhrSmy4vdy6BRn,Omah Lay,soso,KeyQaad/Sire Records,1,4,34,317605,3,2023
4,spotify:track:76mICRITD4cOg5KnqH9f3s,Ayra Starr,Sability,Mavin Records,1,3,4,303252,3,2023
5,spotify:track:7ErtOGQ9DwyQa3lwP77j4u,Ruger,Asiwaju,Promised Land Recordings,1,5,17,255565,3,2023
1,spotify:track:1KCCxeit3q5wJXxDmRgbl3,Davido,OVER DEM,Columbia,1,64,2,1257265,4,2023
2,spotify:track:2kaH2Z8ezDUKf6fNw250rZ,Davido /  Musa Keys,UNAVAILABLE (feat. Musa Keys),Columbia,2,188,2,1217783,4,2023
3,spotify:track:1mk8ZC9OeTZMr8Wy31LqRj,Davido,FEEL,Columbia,3,99,2,1179534,4,2023
4,spotify:track:5DttTktPy0RMZPz4UNfFm4,Davido /  Asake,NO COMPETITION (feat. Asake),Columbia,4,104,2,1165059,4,2023
5,spotify:track:7vKXc90NT5WBm3UTT4iTVG,Davido /  FAVE,KANTE (feat. Fave),Columbia,5,178,2,1032038,4,2023
1,spotify:track:1iBWjQ9af9NnUd5xnQDB3k,Rema,Charm,Mavin Records / Jonzing World,1,1,2,724465,5,2023
