rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
4,spotify:track:6ie36ZZnVBzZgkdfghyRQ7,Korelon /  ibe,CITYBOY,Korelon,4,-1,1,652639,5,2023
5,spotify:track:6gC4zm1oONWkl0zvo4Cwg6,Gettomasa,Meit ei oo,PME Records,1,2,6,548010,5,2023
1,spotify:track:39RqJCSBMKkNGiNAnuUMH6,Gettomasa,Jälkeekään,PME Records,1,-1,1,1095293,6,2023
2,spotify:track:5RX8T3EoTuXcybAxe6oPAw,Käärijä,Cha Cha Cha,WM Finland,1,1,21,906661,6,2023
3,spotify:track:5V6MFVxOCtnBgw4JV4Yk59,ibe,BLONDINA,Skorpioni,2,2,2,867396,6,2023
4,spotify:track:4NbcnW0v1yoeq2IAuWFriv,SHRTY /  Joalin,Pariisin kevät,PLAY9,2,3,5,791194,6,2023
5,spotify:track:39yHmPnviyu4dxSqMU9SQ7,BEHM /  Olavi Uusivirta,Viimeinen tanssi,WM Finland,4,4,2,672816,6,2023
1,spotify:track:5RX8T3EoTuXcybAxe6oPAw,Käärijä,Cha Cha Cha,WM Finland,1,1,25,549504,7,2023
2,spotify:track:4NbcnW0v1yoeq2IAuWFriv,SHRTY /  Joalin,Pariisin kevät,PLAY9,2,3,9,533438,7,2023
3,spotify:track:39RqJCSBMKkNGiNAnuUMH6,Gettomasa,Jälkeekään,PME Records,1,2,5,531469,7,2023
4,spotify:track:5V6MFVxOCtnBgw4JV4Yk59,ibe,BLONDINA,Skorpioni,2,4,6,516791,7,2023
5,spotify:track:39yHmPnviyu4dxSqMU9SQ7,BEHM /  Olavi Uusivirta,Viimeinen tanssi,WM Finland,4,6,6,424674,7,2023
1,spotify:track:5V6MFVxOCtnBgw4JV4Yk59,ibe,BLONDINA,Skorpioni,1,1,11,508399,8,2023
2,spotify:track:39RqJCSBMKkNGiNAnuUMH6,Gettomasa,Jälkeekään,PME Records,1,2,10,386002,8,2023
3,spotify:track:4NbcnW0v1yoeq2IAuWFriv,SHRTY /  Joalin,Pariisin kevät,PLAY9,2,3,14,372349,8,2023
4,spotify:track:39yHmPnviyu4dxSqMU9SQ7,BEHM /  Olavi Uusivirta,Viimeinen tanssi,WM Finland,4,6,11,365860,8,2023
5,spotify:track:5RX8T3EoTuXcybAxe6oPAw,Käärijä,Cha Cha Cha,WM Finland,1,4,30,363336,8,2023
1,spotify:track:4QfhwWVpaIaXihhpweCuRi,Jami Faltin,Kertoimia Vastaan,Universal Music Oy Distributed Labels,1,-1,1,1043686,9,2023
2,spotify:track:6dR9sSjpDTOA2iYWpmczMv,ibe,less is more,Skorpioni,2,-1,1,445684,9,2023
3,spotify:track:5V6MFVxOCtnBgw4JV4Yk59,ibe,BLONDINA,Skorpioni,1,1,15,423785,9,2023
4,spotify:track:5HDPVknk7KqPWfxSilhC8h,Costi,Ennen vanhaan,PME Records,4,5,9,366433,9,2023
5,spotify:track:39yHmPnviyu4dxSqMU9SQ7,BEHM /  Olavi Uusivirta,Viimeinen tanssi,WM Finland,2,4,15,358921,9,2023
1,spotify:track:150cifhtXjdhDdr07scSVG,HUGO /  Costi,Taulut (feat. Costi),Sony Music Entertainment Finland,1,2,5,739685,10,2023
2,spotify:track:4haz2w5fIZagLEIOig3FGK,Turisti /  ibe,Kiireinen nainen (feat. ibe),WM Finland,1,1,2,586723,10,2023
3,spotify:track:5rJrd2aw3iCaGD87Ztdo4c,Cledos /  Isac Elliot,Kuka se on (feat. Isac Elliot),WM Finland,3,-1,1,500958,10,2023
4,spotify:track:1e8DVYKeCZBGyHd3SqwQXL,Bee /  jambo,Silkkiin verhoiltuna (feat. jambo),Sony Music Entertainment Finland,2,3,4,415191,10,2023
5,spotify:track:6wRn01AkSyG40RIGUtKbWk,Robin Packalen,Sinä 4ever - Vain elämää kausi 14,Universal Music Oy,5,7,2,412535,10,2023
1,spotify:track:3rK7sL207zzuVPq5iX0qpM,Etta,Demoneista ystävii,WM Finland,1,-1,1,717829,11,2023
2,spotify:track:150cifhtXjdhDdr07scSVG,HUGO /  Costi,Taulut (feat. Costi),Sony Music Entertainment Finland,1,1,9,689538,11,2023
3,spotify:track:2URHZHXAM122hwjNhBx1e1,Lauri Haav /  Gettomasa,Feimii,PME Records,2,2,4,466386,11,2023
4,spotify:track:5fB4hLoPMGRtGbVAzDHQWi,ibe,MÄ EN VOI HÄVII,Skorpioni,4,-1,1,427338,11,2023
5,spotify:track:4zClLaFTN76B9qHuXpJ2hH,Averagekidluke /  ibe,Ghetto Love,WM Finland,1,3,4,408666,11,2023
1,spotify:track:1gSb8215VMM7zqVq1ihvjl,Cledos,Jos mä oisin sä,WM Finland,1,-1,1,761645,12,2023
2,spotify:track:150cifhtXjdhDdr07scSVG,HUGO /  Costi,Taulut (feat. Costi),Sony Music Entertainment Finland,1,1,13,573750,12,2023
3,spotify:track:6ik7RSb2fOJevYEFMu2P1A,DAVI /  Joalin,Silkkii (feat. Joalin),WM Finland,1,2,4,463106,12,2023
4,spotify:track:1osPz2rgtdywUR6ut6eIMU,KUUMAA,Satama,Universal Music Oy,4,-1,1,426346,12,2023
5,spotify:track:3rK7sL207zzuVPq5iX0qpM,Etta,Demoneista ystävii,WM Finland,1,3,5,321610,12,2023
1,spotify:track:3BZB8nRPdxDmG2X5Mzlq7X,Mirella,Timanttei,Universal Music Oy,1,-1,1,1196159,1,2024
2,spotify:track:3DaL9LNmDqVyE4RiqDIGj4,Gettomasa /  Sexmane,Hautajaiset,PME Records,2,-1,1,857942,1,2024
3,spotify:track:1iZOPk4TnPpL1NOqCXSoRv,AHTI /  HUGO,Väärään aikaan (feat. HUGO),WM Finland,1,1,5,637654,1,2024
4,spotify:track:6bsk1KhWvXQpziEY8GXSTa,pehmoaino /  Lauri Haav,päivänvaloo (feat. Lauri Haav),Sony Music Entertainment Finland,4,-1,1,607387,1,2024
5,spotify:track:0PVVYanGcAcLz019qjJRey,TUULI,Kevlar,Sony Music Entertainment Finland,5,-1,1,561850,1,2024
1,spotify:track:0jooO42vkt1zh74OsLXwfr,Ege Zulu /  BEHM,Tunnista tuntiin,PME Records,1,-1,1,1022359,2,2024
2,spotify:track:3BZB8nRPdxDmG2X5Mzlq7X,Mirella,Timanttei,Universal Music Oy,1,2,5,851185,2,2024
3,spotify:track:4rjRfdvdlRwyAVAwwdDifd,ANI,Jos puhutaan totta,WM Finland,1,1,2,776047,2,2024
4,spotify:track:1iZOPk4TnPpL1NOqCXSoRv,AHTI /  HUGO,Väärään aikaan (feat. HUGO),WM Finland,1,3,9,509031,2,2024
5,spotify:track:6bPCYlgOrobxmSSNMAIUdW,KERZA /  william,Love Song,026 Records,5,-1,1,457099,2,2024
1,spotify:track:3BZB8nRPdxDmG2X5Mzlq7X,Mirella,Timanttei,Universal Music Oy,1,2,9,788934,3,2024
2,spotify:track:7B5gqyksQo2MTQxW6ZTzp2,Tupe. /  Vepu,Elli,WM Finland,2,-1,1,707903,3,2024
3,spotify:track:0jooO42vkt1zh74OsLXwfr,Ege Zulu /  BEHM,Tunnista tuntiin,PME Records,1,3,5,660570,3,2024
4,spotify:track:04ZyzPmItwLxF1U5hYah44,Pilvi Hämäläinen,Mon chéri,Universal Music Oy,1,1,2,647564,3,2024
5,spotify:track:163IL5lEbcKrOZAKSiW9sM,Käärijä /  Erika Vikman,Ruoska,WM Finland,1,4,4,550151,3,2024
1,spotify:track:1NwbEj6H1dRsgPcd7CKJNa,Jore & Zpoppa /  TUULI,Heikkouteni (feat. TUULI),WM Finland,1,1,6,663422,4,2024
2,spotify:track:6kXvvD5sqnyz9hGTNNvqcG,OLGA,Uus Bitch,PME Records,2,7,3,662935,4,2024
3,spotify:track:7F8qxqsIVThVPpSlxJSXVs,Mirella,Uuteen eiliseen,Universal Music Oy,1,3,4,636505,4,2024
4,spotify:track:3BZB8nRPdxDmG2X5Mzlq7X,Mirella,Timanttei,Universal Music Oy,1,2,14,622303,4,2024
5,spotify:track:2GxrNKugF82CnoRFbQfzPf,Artemas,i like the way you kiss me,Artemas,5,5,3,617182,4,2024
1,spotify:track:1tE3e0tfkZ4q8wC9fMcAoP,JVG,Rallikansa,PME Records,1,1,2,756563,5,2024
2,spotify:track:3pHedpfRhjtt6Adzmu2kpO,Gettomasa,Stunttaa,PME Records,2,-1,1,658116,5,2024
3,spotify:track:3BZB8nRPdxDmG2X5Mzlq7X,Mirella,Timanttei,Universal Music Oy,1,2,18,638268,5,2024
4,spotify:track:48lxT5qJF0yYyf2z4wB4xW,Jaxomy /  Agatino Romero /  Raffaella Carrà,Pedro,Columbia/B1 Recordings/Ultra Records,3,3,5,523927,5,2024
5,spotify:track:4B5w2ugkNbyrI9fXTfDb2w,Isac Elliot /  william /  Jore & Zpoppa /  Cledos /  WILLEM,Weak,Universal Music Oy,5,-1,1,497157,5,2024
1,spotify:track:0hua7obC2aRxJdPkSoFKEu,Mirella /  Lauri Haav,Luotathan,Universal Music Oy,1,-1,1,1742465,6,2024
2,spotify:track:6Y7TST1IwwlQqGGpmQjfEO,Robin Packalen /  Tupe.,Häitä pidelly,Universal Music Oy,2,-1,1,1205365,6,2024
3,spotify:track:5Yn8jOYR59KhHQdhwiQdXO,Sara Siipola /  Sexmane,Juostaan (feat. Sexmane),Sony Music Entertainment Finland,1,1,3,823145,6,2024
4,spotify:track:2HYFX63wP3otVIvopRS99Z,Eminem,Houdini,Shady/Aftermath/Interscope Records,4,-1,1,669278,6,2024
5,spotify:track:3BZB8nRPdxDmG2X5Mzlq7X,Mirella,Timanttei,Universal Music Oy,1,4,22,604995,6,2024
1,spotify:track:0hua7obC2aRxJdPkSoFKEu,Mirella /  Lauri Haav,Luotathan,Universal Music Oy,1,1,6,766726,7,2024
2,spotify:track:31lZDgdGLl7bzGcVqtuWdr,Costi /  Juuna Chill,Vaisto (feat. Juuna Chill),PLAYMAKER,2,2,4,667139,7,2024
3,spotify:track:7gHubaWZNQNvLieogqkVmA,OLGA /  Isac Elliot,Stadi (Alicia),PME Records,3,4,4,627894,7,2024
4,spotify:track:00PdQeNpWlEzqrMN3eauPl,Edicti /  F,En sitä tarkoittanut,Universal Music Oy,3,3,5,590266,7,2024
5,spotify:track:6Y7TST1IwwlQqGGpmQjfEO,Robin Packalen /  Tupe.,Häitä pidelly,Universal Music Oy,2,5,6,521060,7,2024
1,spotify:track:0hua7obC2aRxJdPkSoFKEu,Mirella /  Lauri Haav,Luotathan,Universal Music Oy,1,1,10,571387,8,2024
2,spotify:track:0Ekrxw3lGOi3upnMTH90VY,SHRTY,Sirkus,Universal Music Oy,2,2,6,519836,8,2024
3,spotify:track:0XWzwurinuiDIyvlq0lx93,Korelon /  Turisti,Vaarallinen Nainen,Korelon,2,3,4,485218,8,2024
4,spotify:track:31lZDgdGLl7bzGcVqtuWdr,Costi /  Juuna Chill,Vaisto (feat. Juuna Chill),PLAYMAKER,2,4,8,433233,8,2024
5,spotify:track:7gHubaWZNQNvLieogqkVmA,OLGA /  Isac Elliot,Stadi (Alicia),PME Records,3,6,8,419125,8,2024
1,spotify:track:5ArcUruMjZyrHzQ0QilgJ4,Mirella,Löytää mut,Universal Music Oy,1,1,2,828564,9,2024
2,spotify:track:71hoYrgo1nxzWp9hfhu0Fi,Averagekidluke /  Turisti,Vitun hyvin,WM Finland,1,2,4,660241,9,2024
3,spotify:track:0hua7obC2aRxJdPkSoFKEu,Mirella /  Lauri Haav,Luotathan,Universal Music Oy,1,3,15,512716,9,2024
4,spotify:track:6jRJ1RAvdNxC1TG03VRFVg,Averagekidluke,On / Off,WM Finland,4,4,2,458194,9,2024
5,spotify:track:0Ekrxw3lGOi3upnMTH90VY,SHRTY,Sirkus,Universal Music Oy,2,5,11,413954,9,2024
1,spotify:track:7fdNCtxfZArtOZK3hLqqm3,Turisti,Taikuri,WM Finland,1,1,3,986378,10,2024
2,spotify:track:4IM8WcV6lgjQeBbOA4JaDl,Sexmane /  Tomi Saario,Riittämätön (feat. Tomi Saario),Sony Music Entertainment Finland,2,-1,1,621371,10,2024
3,spotify:track:4OUdNzrfhl2AVu0qTNUIkz,AHTI /  Isac Elliot,Sun luokse,WM Finland,2,2,2,553220,10,2024
