rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
1,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,Jimin,Like Crazy,BIGHIT MUSIC,1,2,33,753590,11,2023
2,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,Jung Kook /  Latto,Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,1,1,17,673449,11,2023
3,spotify:track:0u8rZGtXJrLtiSe34FPjGG,Jimin,Like Crazy (English Version),BIGHIT MUSIC,3,4,33,602216,11,2023
4,spotify:track:2KslE17cAJNHTsI2MI0jb2,Jung Kook,Standing Next to You,BIGHIT MUSIC,4,-1,1,526548,11,2023
5,spotify:track:59hBR0BCtJsfIbV9VzCVAp,Jimin,Set Me Free Pt.2,BIGHIT MUSIC,2,6,34,444574,11,2023
1,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,Jimin,Like Crazy,BIGHIT MUSIC,1,1,37,768870,12,2023
2,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,Jung Kook /  Latto,Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,1,3,21,644205,12,2023
3,spotify:track:0u8rZGtXJrLtiSe34FPjGG,Jimin,Like Crazy (English Version),BIGHIT MUSIC,2,2,37,631506,12,2023
4,spotify:track:59hBR0BCtJsfIbV9VzCVAp,Jimin,Set Me Free Pt.2,BIGHIT MUSIC,2,4,38,461442,12,2023
5,spotify:track:2KslE17cAJNHTsI2MI0jb2,Jung Kook,Standing Next to You,BIGHIT MUSIC,4,5,5,412838,12,2023
1,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,Jimin,Like Crazy,BIGHIT MUSIC,1,1,42,843389,1,2024
2,spotify:track:0u8rZGtXJrLtiSe34FPjGG,Jimin,Like Crazy (English Version),BIGHIT MUSIC,2,2,42,569564,1,2024
3,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,Jung Kook /  Latto,Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,1,3,26,520089,1,2024
4,spotify:track:3k6q0O9JnO2GhvD6C8fs20,Jimin,Closer Than This,BIGHIT MUSIC,2,4,3,514060,1,2024
5,spotify:track:59hBR0BCtJsfIbV9VzCVAp,Jimin,Set Me Free Pt.2,BIGHIT MUSIC,2,5,43,436612,1,2024
1,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,Jimin,Like Crazy,BIGHIT MUSIC,1,1,46,645788,2,2024
2,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,Jung Kook /  Latto,Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,1,2,30,459402,2,2024
3,spotify:track:0u8rZGtXJrLtiSe34FPjGG,Jimin,Like Crazy (English Version),BIGHIT MUSIC,2,3,46,413447,2,2024
4,spotify:track:3k6q0O9JnO2GhvD6C8fs20,Jimin,Closer Than This,BIGHIT MUSIC,2,4,7,354096,2,2024
5,spotify:track:59hBR0BCtJsfIbV9VzCVAp,Jimin,Set Me Free Pt.2,BIGHIT MUSIC,2,5,47,306964,2,2024
1,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,Jimin,Like Crazy,BIGHIT MUSIC,1,1,50,508522,3,2024
2,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,Jung Kook /  Latto,Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,1,2,34,433057,3,2024
3,spotify:track:2O4Bb2WCkjlTPO827OnBMI,LE SSERAFIM,EASY,SOURCE MUSIC,3,3,3,345885,3,2024
4,spotify:track:0u8rZGtXJrLtiSe34FPjGG,Jimin,Like Crazy (English Version),BIGHIT MUSIC,2,5,50,305804,3,2024
5,spotify:track:01qFKNWq73UfEslI0GvumE,Jung Kook /  Jack Harlow,3D (feat. Jack Harlow),BIGHIT MUSIC,2,6,23,284879,3,2024
1,spotify:track:1aKvZDoLGkNMxoRYgkckZG,ILLIT,Magnetic,BELIFT LAB,1,1,3,747519,4,2024
2,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,Jimin,Like Crazy,BIGHIT MUSIC,1,2,55,675931,4,2024
3,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,Jung Kook /  Latto,Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,1,3,39,446940,4,2024
