rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
99,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,114,52,"65005"
100,"spotify:track:18asYwWugKjjsihZ0YvRxO","Tiësto, Ava Max","The Motto","Atlantic Records",11,97,35,"64821"
101,"spotify:track:51tRfOMOsXCyvZtskKGBk6","Pyrythekid","All In","WM Finland",101,-1,1,"63341"
102,"spotify:track:6bpzEUaVqdqfvtSe9X0V2b","Pihlaja","Bon appétit","Sony Music Entertainment Finland",30,80,5,"63293"
103,"spotify:track:3uJFmluXzYedoJcvhpC1AW","Cardi B, Kanye West, Lil Durk","Hot Shit (feat. Ye & Lil Durk)","Atlantic Records",103,-1,1,"62297"
104,"spotify:track:5YW76GVS51KRAbMkaIPYni","Lauri Tähkä","Nukkuvat aamut","WM Finland",2,112,22,"62260"
105,"spotify:track:4OeDZhsYg6pA0QYlzeD9pQ","Teflon Brothers","Maradona (kesä ´86)","Johanna Kustannus Oy",71,73,43,"61856"
106,"spotify:track:7ef4DlsgrMEH11cDZd32M6","Calvin Harris, Dua Lipa","One Kiss (with Dua Lipa)","Sony Music UK",3,106,38,"61552"
107,"spotify:track:0hquQWY3xvYqN4qtiquniF","Doja Cat","Vegas (From the Original Motion Picture Soundtrack ELVIS)","Kemosabe Records/RCA Records",107,178,4,"61521"
108,"spotify:track:21szgNA72iLwvBxHQLgwBh","Nessa Barrett","die first","Warner Records",108,-1,1,"61271"
109,"spotify:track:2D3iuyeUZm2NSVtQLBhufQ","Adi L Hasla, Tuure Boelius","Tunteeton (feat. Tuure Boelius)","Sony Music Entertainment Finland",60,113,3,"61148"
110,"spotify:track:4clIj23vhmDZJxOMKYalhH","ANI","Euforia","WM Finland",110,-1,1,"61105"
111,"spotify:track:1O73ZKgl0THUImkHW6dfAL","Kygo, Dean Lewis","Never Really Loved Me (with Dean Lewis)","Kygo/RCA Records",111,-1,1,"60778"
112,"spotify:track:2DgdHcjWmO3qd50RzuBLgZ","Panic! At The Disco","House of Memories","Decaydance/Fueled By Ramen",27,130,12,"60615"
113,"spotify:track:4ycKgmGOtvuJZVPyvBpVVU","JVG","Ikuinen vappu","WM Finland",1,94,178,"60523"
114,"spotify:track:5CeeOAfo8JsW2hFSoa2dXf","ibe","kesäst kesään (kesäbiisi)","Skorpioni",20,103,5,"60407"
115,"spotify:track:181AxLRTyYh9WUxEjmJt1Y","Willy William","Trompeta","Helix Records",111,111,3,"60218"
116,"spotify:track:4Mr4YK1CCFcvpjiMtL6kaV","Etta, Isaac Sene","Rakastellaan (feat. Isaac Sene)","WM Finland",26,75,5,"60182"
117,"spotify:track:1rYP6R16sM0uSlxrqzR5pM","Gettomasa","Silmät","PME Records",2,132,163,"59746"
118,"spotify:track:5F7rFtVLmUd0mu5N338ChK","Isaac Sene","Jukka","WM Finland",118,-1,1,"59462"
119,"spotify:track:3gYHMSi0QXprEALlsYDgF5","Kymppilinja, Mariska","Minä (feat. Mariska)","WM Finland",51,51,61,"59281"
120,"spotify:track:6aHVPCIzIovTCYyOEvJu7K","JVG, Märkä-Simo","Häissä (feat. Märkä-Simo)","WM Finland",51,102,61,"59021"
121,"spotify:track:1fPYFdAdQNFL9rpZPxR2FN","BESS, Nopsajalka","Viisi kesää","Universal Music Oy",12,181,38,"58855"
122,"spotify:track:2SPVXK9xjkF3iAmvWySvqL","Chebaleba, RicoWamos","Kesäfiilistelyy (feat. RicoWamos)","Chebaleba Productions",45,77,33,"58455"
123,"spotify:track:3GbQcjKWT7eVpUfzqwUjxv","Lil Nas X, YoungBoy Never Broke Again","Late To Da Party (F*CK BET) (feat. YoungBoy Never Broke Again)","Columbia",65,65,2,"58376"
124,"spotify:track:2SNZVqgDiiuOUe2qPOW1m1","Poju","Esson baariin","Z-Trading",31,49,251,"58346"
125,"spotify:track:5t7rDlqL7Ji3BrpOJFKBCr","Teflon Brothers, Sahamies","Pämppää","Johanna Kustannus Oy",66,81,49,"57785"
126,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",1,83,136,"57260"
