rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2K9kZpwD2CzTa6iiSYYOoO","Marília Mendonça","Leão","Som Livre",1,4,5,"11679078"
2,"spotify:track:4o6v3Oooyt7HF20idztRD4","Israel & Rodolffo, Ana Castela","Bombonzinho - Ao Vivo","Som Livre",1,2,10,"8312942"
3,"spotify:track:1597vvneWf0zoQrg2D8yH6","MC MENOR HR, MC MENOR SG, DJ ESCOBAR","Evoque Prata","GUETTO RECORDS",1,1,11,"7823626"
4,"spotify:track:4ASA1PZyWGbuc4d9N8OAcF","Gustavo Mioto, Mari Fernandez","Eu Gosto Assim - Ao Vivo","Universal Music Ltda.",1,3,17,"7085020"
5,"spotify:track:6Hio4nlyWL2WBL8nYlbuGt","MC K.K, Dj TG Beats, Dj Aurélio, MC Lipivox","Agudo Mágico 3","Authentic Records OFC",5,7,5,"6183565"
6,"spotify:track:2hkwwmmLC90T8BQ7t3xufq","Zé Felipe, Ana Castela, Luan Pereira","Roça Em Mim","Som Livre",5,6,8,"5895317"
7,"spotify:track:1ELsaYdj2NlxLvkx9g24xZ","Guilherme & Benuto, Hugo & Guilherme","Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo","Sony Music Entertainment",2,5,29,"5584910"
8,"spotify:track:5geU4byUA1hnQofQPOsPDS","Orochi, MC Ryan SP, Oruam, Xamã, Neo Beats, Kizzy, Mainstreet","Sereia","Mainstreet Records",8,13,11,"5146335"
9,"spotify:track:2orGm2E68ODFYOURjaES62","WIU, MC Ryan SP","Felina","Sony Music Entertainment",5,15,16,"4876799"
10,"spotify:track:2M4kQD87lKnAS9vFlb4Bez","Matheus & Kauan, Jorge & Mateus","Pactos - Ao Vivo","Universal Music Ltda.",6,9,13,"4856363"
11,"spotify:track:7nFvKgVumc9FcU97zGjjei","WIU","Coração de Gelo","Sony Music Entertainment",11,18,6,"4724081"
12,"spotify:track:3yHXEidSu4gYVRqKoI653O","Guilherme & Benuto, Xand Avião","Assunto Delicado - Ao Vivo","Sony Music Entertainment",3,8,21,"4657534"
13,"spotify:track:2m6ZDDrTvDQtKbwNFyI3r5","Luísa Sonza, Xamã","MAMA.CITA (hasta la vista)","Sony Music Entertainment",13,22,3,"4529153"
14,"spotify:track:1dMyIigB6MDsfD3xuG6TbO","Felipe e Rodrigo","Média Boa - Ao Vivo","Virgin Music Label And Artist Services (S&D)",8,11,13,"4375062"
15,"spotify:track:1OZ4uv7OAP24Ix6j3vojLt","Mc Paiva ZS, MC Ryan SP, Kotim","Casei Com a Putaria","Love Funk",1,12,27,"4317060"
16,"spotify:track:0oB3IBEhbmgTrL7mV0VnFq","Kadu Martins","Novinha do Onlyfans - Tchan Ran Tchan Tchan","Kadu Martins",10,10,11,"4282058"
17,"spotify:track:4r2O8NHomHiJnFKqhYnqy1","Israel & Rodolffo, Jorge & Mateus","Perdoou Nada - Ao Vivo","Som Livre",16,19,6,"4079881"
18,"spotify:track:6gyhp7IcNhTYzwlk8utsgP","Diego & Victor Hugo, Jorge & Mateus","Beijo de Glicose - Ao Vivo","Sony Music Entertainment",6,14,19,"4078804"
19,"spotify:track:2YAOJkRWy382bRMXaj48FP","Guilherme & Benuto, Matheus & Kauan","Esse B.O é Meu - Ao Vivo","Sony Music Entertainment",17,17,10,"4025392"
20,"spotify:track:7nwHsYxiuHo98dLI7UVkyn","Maiara & Maraisa","A Culpa É Nossa - Ao Vivo","Som Livre",20,25,4,"3954276"
21,"spotify:track:4mD9hjoTckjeL1CrJCx0MT","DJ Jeeh FDC, MC Menor MT, Yuri Redicopa, Mc Pelé","Puta Mexicana","PMI Records Oficial",21,71,2,"3748955"
22,"spotify:track:1ACALdBWViTpLBC14Ecv8E","MC Ryan SP, Mc Daniel, Kotim","Namora Aí","WM Brazil",22,28,5,"3720345"
23,"spotify:track:3gCWngngUs1uojw33vrE8K","Jorge & Mateus","5 Regras - Ao Vivo","Som Livre",7,16,24,"3704943"
24,"spotify:track:5DoYLtsVnNMcrgpMdEPOsI","DJ Dozabri, DJ Arana, Silva Mc, MC Luiggi, Meno Saaint","É Só Um Lance Lero Lero","Barulho Das Favelas",14,21,8,"3602346"
25,"spotify:track:6Zw25LRLP0j0MsezDFIUM4","Hugo & Guilherme, Marília Mendonça","Mal Feito - Ao Vivo","Som Livre",2,23,52,"3467101"
26,"spotify:track:4UldILPVpnZO69ffK4B9aA","Dj LK da Escócia, Tchakabum, MC Ryan SP, mc jhenny, Mc RF","Tubarão Te Amo","Nas Nuvens Catalog",11,20,14,"3406780"
27,"spotify:track:7LUZT12r4xmwR1Kh8TJgjv","Gusttavo Lima","Ex dos Meus Sonhos - Ao Vivo","Sony Music Entertainment",7,24,14,"3270867"
28,"spotify:track:7sopDXkuzXtHt8AQpdBxmT","Ana Castela","DONA DE MIM","AgroPlay",28,42,3,"3229714"
29,"spotify:track:4PQ5AInr4YoBauth9YPduL","Anitta, Mc Danny, HITMAKER","Ai Papai","WM Brazil",29,40,6,"3109551"
30,"spotify:track:7bhvRvE56NHBvedx0EeALS","Mari Fernandez, NATTAN","Comunicação Falhou - Ao Vivo","Sony Music Entertainment",12,26,37,"3079954"
31,"spotify:track:2Vl7x4BkNhhJkEmQQMcV0V","Mc Jacaré","Toma Tapa","A Chave",31,33,5,"3072141"
32,"spotify:track:4xxeEWGQNFQ6qehlnev5LS","Marília Mendonça","Te Amo Demais","Som Livre",4,34,25,"2999830"
33,"spotify:track:2HMbGPbGiqGaHXzFkQAmZI","Matheus & Kauan","Basiquinho - Ao Vivo","Universal Music Ltda.",16,31,23,"2934479"
34,"spotify:track:7AwVSKaQxpidrtYBerkHKk","Ana Castela, Melody, Dj Chris No Beat","Pipoco","Ana Castela",1,27,33,"2914427"
35,"spotify:track:4NNZZXHgn9F3cCgC1YGmLl","Jorge & Mateus","Todo Seu - Ao Vivo","Som Livre",9,29,36,"2874939"
36,"spotify:track:4cxQWmXmmbFoWvV8qipQTe","Murilo Huff, Maiara & Maraisa","Perfeito Pra Ficar Sozinho - Ao Vivo","M Show",22,30,23,"2849874"
37,"spotify:track:7qoIhutxU269Zqo9PG5IOj","Pineapple StormTv, Chris MC, Salve Malak, Tz da Coronel, MC Cabelinho, Chefin, L7NNON, Luísa Sonza, Oruam, Xamã, N.I.N.A","Poesia Acústica 13","Pineapple StormTV",1,41,17,"2804089"
38,"spotify:track:6eNRGL6Nkdg7RhJtmbcl0j","Mc Tato, DJ Ak beats","Luz do Luar","RF PRODUTORA",38,116,3,"2670705"
