rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
4,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,Island Records,3,5,7,41180149,10,2024
5,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,1,6,26,36393790,10,2024
1,spotify:track:2plbrEY59IikOBgBGLjaoe,Lady Gaga /  Bruno Mars,Die With A Smile,Interscope,1,2,12,72120205,11,2024
2,spotify:track:5vNRhkKd0yEAg8suGBpjeY,ROSÉ /  Bruno Mars,APT.,Atlantic Records,1,1,3,70266435,11,2024
3,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,1,3,25,47221820,11,2024
4,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Jimin,Who,BIGHIT MUSIC,1,4,16,39989340,11,2024
5,spotify:track:1cOboCuWYI2osTOfolMRS6,Oscar Maydon /  Fuerza Regida,Tu Boda,Rancho Humilde/Sony Music Latin,5,5,5,36996607,11,2024
1,spotify:track:2plbrEY59IikOBgBGLjaoe,Lady Gaga /  Bruno Mars,Die With A Smile,Interscope,1,1,17,67113128,12,2024
2,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,ROSÉ /  Bruno Mars,APT.,Atlantic Records,1,2,8,65463651,12,2024
3,spotify:track:0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,All I Want for Christmas Is You,Columbia,1,4,63,47514211,12,2024
4,spotify:track:2FRnf9qhLbvw8fu4IBXx78,Wham!,Last Christmas,Epic,2,5,57,46992149,12,2024
5,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,1,3,30,46095572,12,2024
