rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
1,spotify:track:0g2Bbgy7P41pFjMWJuzsf4,DJ Khaled /  Drake /  Lil Baby,STAYING ALIVE (feat. Drake & Lil Baby),Epic/We The Best,1,-1,1,1423537,8,2022
2,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,1,19,1150493,8,2022
3,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,L-M Records/RCA Records,3,4,6,1000657,8,2022
4,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),Fish People,1,2,11,998323,8,2022
5,spotify:track:3F5CgOj3wFlRv51JsHbxhe,Drake /  21 Savage,Jimmy Cooks (feat. 21 Savage),OVO,1,3,8,979110,8,2022
1,spotify:track:4uUG5RXrOk84mYEfFvj3cK,David Guetta /  Bebe Rexha,I'm Good (Blue),Parlophone UK,1,8,2,1334509,9,2022
2,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,1,23,1199630,9,2022
3,spotify:track:2yjlYDiNiQkdxVqTlaSrlX,Nicki Minaj,Super Freaky Girl,Republic Records,2,2,4,1096919,9,2022
4,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Interscope Records,4,4,14,1071345,9,2022
5,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,L-M Records/RCA Records,2,3,10,978929,9,2022
1,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Sam Smith /  Kim Petras,Unholy (feat. Kim Petras),Capitol Records UK / EMI,1,1,3,1784003,10,2022
2,spotify:track:4uUG5RXrOk84mYEfFvj3cK,David Guetta /  Bebe Rexha,I'm Good (Blue),Parlophone UK,1,2,7,1370059,10,2022
3,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Interscope Records,3,3,19,1059417,10,2022
4,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,L-M Records/RCA Records,2,4,15,1013533,10,2022
5,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,5,28,932211,10,2022
1,spotify:track:1bDbXMyjaUIooNwFE9wn0N,Drake /  21 Savage,Rich Flex,OVO / Republic Records,1,-1,1,3506858,11,2022
2,spotify:track:46s57QULU02Voy0Kup6UEb,Drake /  21 Savage,Major Distribution,OVO / Republic Records,2,-1,1,2574585,11,2022
3,spotify:track:2KLwPaRDOB87XOYAT2fgxh,Drake /  21 Savage /  Travis Scott,Pussy & Millions (feat. Travis Scott),OVO / Republic Records,3,-1,1,2553459,11,2022
4,spotify:track:34tz0eDhGuFErIuW3q4mPX,Drake /  21 Savage,On BS,OVO / Republic Records,4,-1,1,2389459,11,2022
5,spotify:track:7GeTsDIc5ykNB6lORO6Cee,Drake /  21 Savage,Circo Loco,OVO / Republic Records,5,-1,1,2248987,11,2022
1,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,Metro Boomin /  The Weeknd /  21 Savage,Creepin' (with The Weeknd & 21 Savage),Republic Records,1,-1,1,2488220,12,2022
2,spotify:track:2EjXfH91m7f8HiJN1yQg97,Brenda Lee,Rockin' Around The Christmas Tree,MCA Nashville,1,4,41,1613303,12,2022
3,spotify:track:1bDbXMyjaUIooNwFE9wn0N,Drake /  21 Savage,Rich Flex,OVO / Republic Records,1,1,5,1497647,12,2022
4,spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,Metro Boomin /  Future /  Chris Brown,Superhero (Heroes & Villains) [with Future & Chris Brown],Republic Records,4,-1,1,1490751,12,2022
5,spotify:track:0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,All I Want for Christmas Is You,Columbia,1,5,48,1456601,12,2022
1,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,1,1,5,2028286,1,2023
2,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,Metro Boomin /  The Weeknd /  21 Savage,Creepin' (with The Weeknd & 21 Savage),Republic Records,1,2,6,1491890,1,2023
3,spotify:track:4uUG5RXrOk84mYEfFvj3cK,David Guetta /  Bebe Rexha,I'm Good (Blue),Parlophone UK,1,3,20,1135384,1,2023
4,spotify:track:1bDbXMyjaUIooNwFE9wn0N,Drake /  21 Savage,Rich Flex,OVO / Republic Records,1,5,10,1088546,1,2023
5,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Sam Smith /  Kim Petras,Unholy (feat. Kim Petras),Capitol Records UK / EMI,1,4,16,1054185,1,2023
1,spotify:track:0yLdNVWF3Srea0uzk55zFn,Miley Cyrus,Flowers,Columbia,1,1,4,2799135,2,2023
2,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,1,2,9,1907899,2,2023
3,spotify:track:59uQI0PADDKeE6UZDTJEe8,Morgan Wallen,Last Night,Big Loud Records / Mercury Records / Republic Records,3,34,2,1509639,2,2023
4,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,Metro Boomin /  The Weeknd /  21 Savage,Creepin' (with The Weeknd & 21 Savage),Republic Records,1,3,10,1441493,2,2023
5,spotify:track:0NZPBYD5qbEWRs3PrGiRkT,Sam Smith /  Kim Petras,Unholy (feat. Kim Petras),Capitol Records UK / EMI,1,5,20,1265903,2,2023
1,spotify:track:7K3BhSpAxZBznislvUMVtn,Morgan Wallen,Last Night,Big Loud Records / Mercury Records / Republic Records,1,5,6,2162603,3,2023
2,spotify:track:0yLdNVWF3Srea0uzk55zFn,Miley Cyrus,Flowers,Columbia,1,1,8,1778128,3,2023
3,spotify:track:7oDd86yk8itslrA9HRP2ki,The Weeknd /  Ariana Grande,Die For You - Remix,XO / Republic Records,3,4,2,1752346,3,2023
4,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,PinkPantheress /  Ice Spice,Boy's a liar Pt. 2,Warner Records,2,2,5,1750632,3,2023
5,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,1,3,13,1577141,3,2023
1,spotify:track:7aRCf5cLOFN1U7kvtChY1G,Drake,Search & Rescue,OVO/Republic Records,1,-1,1,2132598,4,2023
2,spotify:track:7K3BhSpAxZBznislvUMVtn,Morgan Wallen,Last Night,Big Loud Records / Mercury Records / Republic Records,1,1,11,1896206,4,2023
3,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Miley Cyrus,Flowers,Columbia,1,2,13,1415442,4,2023
4,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,1,3,18,1217301,4,2023
5,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,PinkPantheress /  Ice Spice,Boy's a liar Pt. 2,Warner Records,2,4,10,1108056,4,2023
1,spotify:track:7K3BhSpAxZBznislvUMVtn,Morgan Wallen,Last Night,Big Loud Records / Mercury Records / Republic Records,1,1,15,1869681,5,2023
2,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Miley Cyrus,Flowers,Columbia,1,3,17,1244546,5,2023
3,spotify:track:1s7oOCT8vauUh01PbJD6ps,Rema /  Selena Gomez,Calm Down (with Selena Gomez),Mavin Records / Jonzing World,3,4,37,1171919,5,2023
4,spotify:track:7FbrGaHYVDmfr7KoLIZnQ7,FIFTY FIFTY,Cupid (Twin Ver.) - Live Studio Version OT4,ATTRAKT,4,5,9,1155623,5,2023
5,spotify:track:1odExI7RdWc4BT515LTAwj,David Kushner,Daylight,"Miserable Music Group, LLC",2,2,4,1139433,5,2023
1,spotify:track:7K3BhSpAxZBznislvUMVtn,Morgan Wallen,Last Night,Big Loud Records / Mercury Records / Republic Records,1,1,19,1725327,6,2023
2,spotify:track:2FDTHlrBguDzQkp7PVj16Q,Dave /  Central Cee,Sprinter,Neighbourhood / Live Yours,2,-1,1,1465843,6,2023
3,spotify:track:1Lo0QY9cvc8sUB2vnIOxDT,Luke Combs,Fast Car,River House Artists/Columbia Nashville,3,3,11,1159321,6,2023
4,spotify:track:5xP9lQYA8YQmQh6BOxcAnR,The Weeknd /  Playboi Carti /  Madonna,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),XO / Republic Records,4,-1,1,1062418,6,2023
5,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Miley Cyrus,Flowers,Columbia,1,2,21,1033221,6,2023
1,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,Gunna,fukumean,300 Entertainment,1,3,4,1698995,7,2023
2,spotify:track:7K3BhSpAxZBznislvUMVtn,Morgan Wallen,Last Night,Big Loud Records / Mercury Records / Republic Records,1,2,24,1692303,7,2023
3,spotify:track:3k79jB4aGmMDUQzEwa46Rz,Olivia Rodrigo,vampire,Olivia Rodrigo PS,1,1,2,1547825,7,2023
4,spotify:track:1Lo0QY9cvc8sUB2vnIOxDT,Luke Combs,Fast Car,River House Artists/Columbia Nashville,3,4,16,1236712,7,2023
5,spotify:track:5kHMfzgLZP95O9NBy0ku4v,Taylor Swift,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,5,-1,1,1226559,7,2023
1,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,Gunna,fukumean,300 Entertainment,1,2,8,1564878,8,2023
2,spotify:track:7K3BhSpAxZBznislvUMVtn,Morgan Wallen,Last Night,Big Loud Records / Mercury Records / Republic Records,1,4,28,1532281,8,2023
3,spotify:track:67nepsnrcZkowTxMWigSbb,Travis Scott /  Drake,MELTDOWN (feat. Drake),Cactus Jack/Epic,1,1,2,1480353,8,2023
4,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,4,17,31,1332041,8,2023
5,spotify:track:741UUVE2kuITl0c6zuqqbO,Nicki Minaj /  Ice Spice /  Aqua,Barbie World (with Aqua) [From Barbie The Album],Atlantic Records,3,5,7,1282681,8,2023
1,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,Doja Cat,Paint The Town Red,Kemosabe Records/RCA Records,1,1,5,2260730,9,2023
2,spotify:track:4KULAymBBJcPRpk1yO4dOG,Zach Bryan /  Kacey Musgraves,I Remember Everything (feat. Kacey Musgraves),Warner Records,2,2,2,1563375,9,2023
3,spotify:track:7K3BhSpAxZBznislvUMVtn,Morgan Wallen,Last Night,Big Loud Records / Mercury Records / Republic Records,1,3,32,1505789,9,2023
4,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,Gunna,fukumean,300 Entertainment,1,4,12,1363634,9,2023
5,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,3,6,35,1304054,9,2023
1,spotify:track:2YSzYUF3jWqb9YP9VXmpjE,Drake /  Yeat,IDGAF (feat. Yeat),OVO/Republic,1,-1,1,2680009,10,2023
2,spotify:track:7aqfrAY2p9BUSiupwk3svU,Drake /  J. Cole,First Person Shooter (feat. J. Cole),OVO/Republic,2,-1,1,2575368,10,2023
3,spotify:track:3eP13S8D5m2cweMEg3ZDed,Drake,Virginia Beach,OVO/Republic,3,-1,1,2062837,10,2023
4,spotify:track:4ZT0wGKwlJRjpMUuwZVy3p,Drake,Daylight,OVO/Republic,4,-1,1,1642554,10,2023
5,spotify:track:56y1jOTK0XSvJzVv9vHQBK,Doja Cat,Paint The Town Red,Kemosabe Records/RCA Records,1,1,10,1640078,10,2023
1,spotify:track:1Iq8oo9XkmmvCQiGOfORiz,Taylor Swift,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1,1,2,1448877,11,2023
2,spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,RCA Records Label,2,7,8,1328945,11,2023
3,spotify:track:4KULAymBBJcPRpk1yO4dOG,Zach Bryan /  Kacey Musgraves,I Remember Everything (feat. Kacey Musgraves),Warner Records,2,13,11,1198052,11,2023
4,spotify:track:56y1jOTK0XSvJzVv9vHQBK,Doja Cat,Paint The Town Red,Kemosabe Records/RCA Records,1,8,14,1185831,11,2023
5,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,Mitski,My Love Mine All Mine,Dead Oceans,5,18,8,1083310,11,2023
1,spotify:track:2EjXfH91m7f8HiJN1yQg97,Brenda Lee,Rockin' Around The Christmas Tree,MCA Nashville,1,2,48,2163586,12,2023
2,spotify:track:0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,All I Want for Christmas Is You,Columbia,1,3,57,1958842,12,2023
3,spotify:track:6p1GHnHSJSma1orNgP7NoE,Bobby Helms,Jingle Bell Rock,Geffen,2,5,48,1792484,12,2023
4,spotify:track:4xhsWYTOGcal8zt0J161CU,Jack Harlow,Lovin On Me,Generation Now/Atlantic,1,1,4,1661647,12,2023
5,spotify:track:06qMRF18gwbOYYbnP2du6i,Wham!,Last Christmas - Single Version,Sony Music CG,2,6,51,1657714,12,2023
1,spotify:track:4xhsWYTOGcal8zt0J161CU,Jack Harlow,Lovin On Me,Generation Now/Atlantic,1,1,9,1663795,1,2024
2,spotify:track:0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,Mercury Records/Republic Records,2,3,41,1479782,1,2024
3,spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,RCA Records Label,2,2,17,1249856,1,2024
4,spotify:track:4KULAymBBJcPRpk1yO4dOG,Zach Bryan /  Kacey Musgraves,I Remember Everything (feat. Kacey Musgraves),Warner Records,2,5,20,1151584,1,2024
5,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,3,4,53,1007462,1,2024
1,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",1,1,3,2308032,2,2024
2,spotify:track:0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,Mercury Records/Republic Records,1,2,45,1798738,2,2024
3,spotify:track:4xhsWYTOGcal8zt0J161CU,Jack Harlow,Lovin On Me,Generation Now/Atlantic,1,3,13,1475939,2,2024
4,spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,RCA Records Label,2,7,21,1464002,2,2024
5,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,5,6,19,1364097,2,2024
1,spotify:track:3w0w2T288dec0mgeZZqoNN,¥$ /  Kanye West /  Ty Dolla $ign,CARNIVAL,Ye,1,1,4,2684543,3,2024
2,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",1,2,7,2390863,3,2024
3,spotify:track:7AYmToZ5y67fBjq4RLFbuq,Beyoncé,TEXAS HOLD 'EM,Parkwood Entertainment/Columbia,2,3,4,1654379,3,2024
4,spotify:track:0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,Mercury Records/Republic Records,1,4,49,1636350,3,2024
5,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,5,5,23,1546237,3,2024
1,spotify:track:0AjmK0Eai4zGrLaJwPvrDp,Hozier,Too Sweet,Columbia,1,3,3,2964464,4,2024
2,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",1,2,12,2295396,4,2024
3,spotify:track:2tudvzsrR56uom6smgOcSf,Future /  Metro Boomin /  Kendrick Lamar,Like That,Wilburn Holding Co./Boominati/Epic/Republic,1,1,3,2084740,4,2024
4,spotify:track:0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,Mercury Records/Republic Records,1,4,54,1878419,4,2024
5,spotify:track:2GxrNKugF82CnoRFbQfzPf,Artemas,i like the way you kiss me,Artemas,5,8,3,1723446,4,2024
1,spotify:track:2FQrifJ1N335Ljm3TjTVVf,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,1,1,4,3804939,5,2024
2,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,Not Like Us,"Kendrick Lamar, under exclusive license to Interscope Records",2,-1,1,3138965,5,2024
3,spotify:track:2qSkIjg1o9h3YT9RAgYN75,Sabrina Carpenter,Espresso,Island Records,2,2,4,2917548,5,2024
4,spotify:track:7fzHQizxTqy8wTXwlrgPQQ,Tommy Richman,MILLION DOLLAR BABY,PULSE Records,4,36,2,2894152,5,2024
5,spotify:track:77DRzu7ERs0TX3roZcre7Q,Kendrick Lamar,euphoria,"Kendrick Lamar, under exclusive license to Interscope Records",5,22,2,2877666,5,2024
1,spotify:track:7221xIgOnuakPdLqT0F3nP,Post Malone /  Morgan Wallen,I Had Some Help (Feat. Morgan Wallen),Mercury Records/Republic Records,1,1,4,4045653,6,2024
2,spotify:track:2HYFX63wP3otVIvopRS99Z,Eminem,Houdini,Shady/Aftermath/Interscope Records,2,-1,1,3909674,6,2024
3,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,1,2,8,3467988,6,2024
