rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
45,"spotify:track:1xzi1Jcr7mEi9K2RfzLOqS","Beyoncé","CUFF IT","Parkwood Entertainment/Columbia",33,33,2,"404303"
46,"spotify:track:6UelLqGlWMcVH1E5c4H7lY","Harry Styles","Watermelon Sugar","Columbia",3,61,143,"403052"
47,"spotify:track:6feiJqgHqeSvkGUzf11AYs","Becky Hill, David Guetta","Remember (with David Guetta)","Polydor Records",39,39,6,"392022"
48,"spotify:track:0ofHAoxe9vBkTCp2UQIavz","Fleetwood Mac","Dreams - 2004 Remaster","Rhino/Warner Records",7,75,214,"389243"
49,"spotify:track:6Qyc6fS4DsZjB2mRW9DsQs","The Goo Goo Dolls","Iris","Warner Records",36,58,75,"388687"
50,"spotify:track:7yq4Qj7cqayVTp3FF9CWbm","Vance Joy","Riptide","F-Stop Records/Atlantic",50,60,292,"384422"
51,"spotify:track:3GZD6HmiNUhxXYf8Gch723","Frank Ocean","Lost","Red Zone Entertainment / IDJ",17,65,40,"380338"
52,"spotify:track:3CIyK1V4JEJkg02E4EJnDl","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","Kid Ina Korner / Interscope",14,46,39,"379079"
53,"spotify:track:7qEHsqek33rTcFNT9PFqLf","Lewis Capaldi","Someone You Loved","Vertigo Berlin",4,68,185,"378002"
54,"spotify:track:1cKHdTo9u0ZymJdPGSh6nq","The Weeknd, Gesaffelstein","I Was Never There","Universal Republic Records",28,54,15,"377887"
55,"spotify:track:4RvWPyQ5RL0ao9LPZeSouE","Tears For Fears","Everybody Wants To Rule The World","UMC (Universal Music Catalogue)",55,81,11,"377667"
56,"spotify:track:0xzI1KAr0Yd9tv8jlIk3sn","benny blanco, BTS, Snoop Dogg","Bad Decisions (with BTS & Snoop Dogg)","Friends Keep Secrets/Interscope Records",56,-1,1,"375799"
57,"spotify:track:7MXVkk9YMctZqd1Srtv4MB","The Weeknd, Daft Punk","Starboy","Universal Republic Records",1,76,126,"367396"
58,"spotify:track:4pi1G1x8tl9VfdD9bL3maT","Latto","Big Energy","Streamcut/RCA Records",24,49,23,"361259"
59,"spotify:track:5A5bLKdL5I3k3FTEQlAUw7","SUPER-Hi, NEEKA","Following the Sun","BLENDED",16,52,24,"359151"
60,"spotify:track:7lQ8MOhq6IN2w8EYcFNSUk","Eminem","Without Me","Aftermath",42,71,54,"358795"
61,"spotify:track:3GYlZ7tbxLOxe6ewMNVTkw","Billie Eilish","TV","Darkroom/Interscope Records",21,30,3,"355399"
62,"spotify:track:2MuWTIM3b0YEAskbeeFE1i","Metallica","Master Of Puppets","Blackened Recordings / Universal Music",17,47,6,"352501"
63,"spotify:track:6Uj1ctrBOjOas8xZXGqKk4","Doja Cat","Woman","Kemosabe Records/RCA Records",12,66,55,"351486"
64,"spotify:track:46IZ0fSY2mpAiktS3KOqds","Adele","Easy On Me","Columbia",1,64,43,"351224"
65,"spotify:track:0y60itmpH0aPKsFiGxmtnh","WILLOW","Wait a Minute!","Roc Nation W Smith P&D",17,59,35,"350888"
66,"spotify:track:3sa06xVNmLLYIxdNNmVQN8","Jax Jones, MNEK","Where Did You Go? (feat. MNEK)","Polydor Records",34,53,13,"349663"
67,"spotify:track:09mEdoA6zrmBPgTEN5qXmN","The Weeknd","Call Out My Name","Universal Republic Records",3,72,35,"347831"
68,"spotify:track:4EWCNWgDS8707fNSZ1oaA5","Kanye West","Heartless","Roc-A-Fella",68,87,16,"343286"
69,"spotify:track:5wANPM4fQCJwkGd4rN57mH","Olivia Rodrigo","drivers license","Olivia Rodrigo PS",1,73,83,"337288"
70,"spotify:track:5nujrmhLynf4yMoMtj8AQF","Dua Lipa, DaBaby","Levitating (feat. DaBaby)","Warner Records",4,69,96,"336250"
71,"spotify:track:3yfqSUWxFvZELEM4PmlwIR","Eminem","The Real Slim Shady","Interscope",56,82,70,"332493"
72,"spotify:track:21jGcNKet2qwijlDFuPiPb","Post Malone","Circles","Republic Records",2,101,154,"330233"
73,"spotify:track:7fBv7CLKzipRk6EC6TWHOB","The Weeknd","The Hills","Universal Republic Records",73,80,14,"329841"
74,"spotify:track:0oiv4E896TUTTeQU0cmIui","Drake","Massive","OVO",15,55,8,"327280"
75,"spotify:track:3DarAbFujv6eYNliUTyqtz","Doja Cat, SZA","Kiss Me More (feat. SZA)","Kemosabe Records/RCA Records",1,79,70,"326709"
76,"spotify:track:3AJwUDP919kvQ9QcozQPxg","Coldplay","Yellow","Parlophone UK",76,119,79,"322249"
77,"spotify:track:1R0a2iXumgCiFb7HEZ7gUE","Taylor Swift","Don’t Blame Me","Big Machine Records, LLC",40,74,14,"322043"
78,"spotify:track:0u2P5u6lvoDfwTYjAADbn4","Billie Eilish, Khalid","lovely (with Khalid)","Darkroom",5,105,221,"321821"
79,"spotify:track:7ef4DlsgrMEH11cDZd32M6","Calvin Harris, Dua Lipa","One Kiss (with Dua Lipa)","Sony Music UK",6,103,57,"319721"
80,"spotify:track:22skzmqfdWrjJylampe0kt","Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton","Can't Hold Us (feat. Ray Dalton)","Macklemore",80,108,164,"318410"
81,"spotify:track:5CZ40GBx1sQ9agT82CLQCT","Olivia Rodrigo","traitor","Olivia Rodrigo PS",4,94,64,"314929"
82,"spotify:track:2eAvDnpXP5W0cVtiI0PUxV","Ruth B.","Dandelions","Columbia",66,84,31,"314662"
83,"spotify:track:3E7dfMvvCLUddWissuqMwr","Miley Cyrus","Party In The U.S.A.","Hollywood Records",58,83,199,"313912"
84,"spotify:track:4rmVZajAF7PkrCagGPHbqa","Drake","Sticky","OVO",11,88,8,"310235"
85,"spotify:track:37y7iDayfwm3WXn5BiAoRk","Steve Lacy","Dark Red","Three Quarter",55,95,53,"309785"
86,"spotify:track:32vE1nuG8T9c8bhmZdRY6d","Post Malone, Roddy Ricch","Cooped Up (with Roddy Ricch)","Mercury Records/Republic Records",10,63,13,"308993"
87,"spotify:track:0ntQJM78wzOLVeCUAW7Y45","Kings of Leon","Sex on Fire","RCA/Legacy",83,109,70,"308144"
88,"spotify:track:2wGSgTmgSF3xjRrHkTc25R","The Game, 50 Cent","Hate It Or Love It","Geffen",61,92,7,"308118"
89,"spotify:track:6HJizCbaqaEQG1eLjn341Z","Dean Lewis","Hurtless","Universal Music Australia Pty. Ltd.",38,85,19,"306912"
90,"spotify:track:0RiRZpuVRbi7oqRdSMwhQY","Post Malone, Swae Lee","Sunflower - Spider-Man: Into the Spider-Verse","Republic Records",1,97,199,"306217"
91,"spotify:track:4Li2WHPkuyCdtmokzW2007","JAY-Z, Kanye West","Ni**as In Paris","Roc Nation/RocAFella/IDJ",89,104,54,"304223"
92,"spotify:track:1Hohk6AufHZOrrhMXZppax","Beyoncé","ALIEN SUPERSTAR","Parkwood Entertainment/Columbia",38,38,2,"301666"
93,"spotify:track:4tqcoej1zPvwePZCzuAjJd","J. Cole","Wet Dreamz","Roc Nation Records LLC",92,98,26,"299843"
94,"spotify:track:5uCax9HTNlzGybIStD3vDh","James Arthur","Say You Won't Let Go","Columbia",5,106,294,"297750"
95,"spotify:track:3Oww84xrmgjyr5J1ilOmAf","Luude, Colin Hay","Down Under","B1 Recordings",7,93,34,"294357"
96,"spotify:track:0nrRP2bk19rLc0orkWPQk2","Avicii","Wake Me Up","Universal Music AB",33,132,116,"293320"
97,"spotify:track:3t2Hx5FPih5lKaxJFd6bRE","KSI, Tom Grennan","Not Over Yet (feat. Tom Grennan)","Atlantic Records UK",97,-1,1,"292402"
98,"spotify:track:7iL6o9tox1zgHpKUfh9vuC","50 Cent","In Da Club","Shady Records",55,122,27,"288259"
99,"spotify:track:21DuXS5wpeO1z0dp445bop","Vance Joy","Clarity","Atlantic Records",50,91,18,"287370"
100,"spotify:track:6uvh0In7u1Xn4HgxOfAn8O","Harry Styles","Matilda","Columbia",3,96,12,"286915"
101,"spotify:track:2VxeLyX666F8uXCJ0dZF8B","Lady Gaga, Bradley Cooper","Shallow","A Star is Born OST",5,121,201,"285783"
102,"spotify:track:1v7L65Lzy0j0vdpRjJewt1","Eminem","Lose Yourself","Aftermath",47,112,185,"285370"
103,"spotify:track:2374M0fQpWi3dLnB54qaLX","TOTO","Africa","Columbia",71,163,217,"283502"
104,"spotify:track:40SBS57su9xLiE1WqkXOVr","LF SYSTEM","Afraid To Feel","Warner Records",104,139,3,"283142"
105,"spotify:track:58ge6dfP91o9oXMzq3XkIS","Arctic Monkeys","505","Domino Recording Co",104,114,25,"282824"
106,"spotify:track:531KGXtBroSrOX9LVmiIgc","Dave","Starlight","Dave / Neighbourhood Recordings",4,99,23,"282695"
107,"spotify:track:5nNpVC9AC6DWgrT5RX0e0b","Olivia Newton-John","Hopelessly Devoted To You - From “Grease”","UMC (Universal Music Catalogue)",107,-1,1,"281993"
108,"spotify:track:6HU7h9RYOaPRFeh0R3UeAr","Olivia Rodrigo","deja vu","Olivia Rodrigo PS",2,107,71,"281438"
109,"spotify:track:48UKTR66uUOT9LaUvooTNx","Luke Combs","The Kind of Love We Make","River House Artists/Columbia Nashville",25,100,8,"280909"
110,"spotify:track:4RVwu0g32PAqgUiJoXsdF8","Billie Eilish","Happier Than Ever","Darkroom/Interscope Records",3,102,54,"280136"
111,"spotify:track:4bHsxqR3GMrXTxEPLuK5ue","Journey","Don't Stop Believin' (2022 Remaster)","Columbia/Legacy",85,115,176,"278615"
112,"spotify:track:7DFNE7NO0raLIUbgzY2rzm","Passenger","Let Her Go","Embassy of Music",108,134,196,"277868"
113,"spotify:track:4svaKoxMMP7ImmKrD5hfQu","Jax","Victoria's Secret","Atlantic Records",113,-1,1,"276922"
114,"spotify:track:0gucTLf7trAf37Ua1uAyAu","Nirvana","Smells Like Teen Spirit","Geffen",88,135,84,"276688"
115,"spotify:track:2gam98EZKrF9XuOkU13ApN","Nelly Furtado, Timbaland","Promiscuous","Mosley / Geffen",90,126,92,"276684"
116,"spotify:track:62ke5zFUJN6RvtXZgVH0F8","Paloma Faith","Only Love Can Hurt Like This","RCA Records Label",91,117,12,"276508"
117,"spotify:track:1zi7xx7UVEFkmKfv06H8x0","Drake, Wizkid, Kyla","One Dance","Cash Money Records/Young Money Ent./Universal Rec.",26,144,134,"275613"
118,"spotify:track:5qrSlOut2rNAWv3ubArkNy","Dean Lewis","Be Alright","Universal Music Australia Pty. Ltd.",1,118,215,"274150"
119,"spotify:track:2tpWsVSb9UEmDRxAl1zhX1","OneRepublic","Counting Stars","Mosley / Interscope",88,133,100,"273207"
120,"spotify:track:0cqRj7pUJDkTCEsJkx8snD","Taylor Swift","Shake It Off","Big Machine Records, LLC",97,131,51,"272711"
121,"spotify:track:0T5iIrXA4p5GsubkhuBIKV","Stephen Sanchez","Until I Found You","Republic Records",56,128,12,"271529"
122,"spotify:track:2HbKqm4o0w5wEeEFXm2sD4","Kendrick Lamar, Jay Rock","Money Trees","Aftermath",45,111,29,"271400"
