rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
5,spotify:track:7221xIgOnuakPdLqT0F3nP,Post Malone /  Morgan Wallen,I Had Some Help (Feat. Morgan Wallen),Mercury Records/Republic Records,1,5,9,2032376,7,2024
1,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,1,1,12,2398953,8,2024
2,spotify:track:3WOhcATHxK2SLNeP5W3v1v,Charli xcx /  Billie Eilish,Guess featuring billie eilish,Atlantic Records,2,-1,1,2074307,8,2024
3,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,2,2,17,2067060,8,2024
4,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,Good Luck /  Babe!,Chappell Roan PS/ Island,3,3,17,1938132,8,2024
5,spotify:track:7221xIgOnuakPdLqT0F3nP,Post Malone /  Morgan Wallen,I Had Some Help (Feat. Morgan Wallen),Mercury Records/Republic Records,1,4,13,1867240,8,2024
1,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,Island Records,1,1,3,2716024,9,2024
2,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,1,2,17,2140628,9,2024
3,spotify:track:2plbrEY59IikOBgBGLjaoe,Lady Gaga /  Bruno Mars,Die With A Smile,Interscope,3,5,4,2016128,9,2024
4,spotify:track:2qSkIjg1o9h3YT9RAgYN75,Sabrina Carpenter,Espresso,Island Records,1,3,22,1910729,9,2024
5,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,2,6,22,1806556,9,2024
1,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,Island Records,1,1,7,2236942,10,2024
2,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,1,3,21,1882163,10,2024
3,spotify:track:2plbrEY59IikOBgBGLjaoe,Lady Gaga /  Bruno Mars,Die With A Smile,Interscope,2,2,8,1803622,10,2024
4,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,2,4,26,1779844,10,2024
5,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,1,5,26,1598852,10,2024
1,spotify:track:5vNRhkKd0yEAg8suGBpjeY,ROSÉ /  Bruno Mars,APT.,Atlantic Records,1,1,3,1926562,11,2024
2,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",2,7,3,1902547,11,2024
3,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,Island Records,1,2,11,1792234,11,2024
4,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,1,3,25,1682229,11,2024
5,spotify:track:2plbrEY59IikOBgBGLjaoe,Lady Gaga /  Bruno Mars,Die With A Smile,Interscope,2,4,12,1665613,11,2024
1,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",1,1,8,2236592,12,2024
2,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,ROSÉ /  Bruno Mars,APT.,Atlantic Records,1,2,8,2132717,12,2024
3,spotify:track:2plbrEY59IikOBgBGLjaoe,Lady Gaga /  Bruno Mars,Die With A Smile,Interscope,2,5,17,1667831,12,2024
4,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,1,3,30,1650644,12,2024
5,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,2,8,35,1501789,12,2024
