rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
4,spotify:track:1xRMtDxiU8xxAlaDscHIoT,Keung To,濤,Music Nation Records Co. Ltd.,1,6,41,259764,5,2024
5,spotify:track:2CwGJLH5jTBlVQhMfjCc6e,Keung To,Dummy,Music Nation Records Co Ltd.,1,7,50,253821,5,2024
1,spotify:track:1jQE96DjtfpWGjSqK6Gfnr,Keung To,好得太過份,Music Nation Records Co Ltd.,1,1,7,296129,6,2024
2,spotify:track:4ja627NyIBCz7wO2dYr83g,Keung To,岩巉,Music Nation Records Co Ltd.,1,2,29,259334,6,2024
3,spotify:track:60DcGRqdHMk9H3sat9bcHW,Keung To,黑月,Music Nation Records Co. Ltd.,1,3,22,235799,6,2024
4,spotify:track:1xRMtDxiU8xxAlaDscHIoT,Keung To,濤,Music Nation Records Co. Ltd.,1,5,46,214783,6,2024
5,spotify:track:2CwGJLH5jTBlVQhMfjCc6e,Keung To,Dummy,Music Nation Records Co Ltd.,1,6,55,210985,6,2024
1,spotify:track:1jQE96DjtfpWGjSqK6Gfnr,Keung To,好得太過份,Music Nation Records Co Ltd.,1,1,11,300408,7,2024
2,spotify:track:4ja627NyIBCz7wO2dYr83g,Keung To,岩巉,Music Nation Records Co Ltd.,1,2,33,270836,7,2024
3,spotify:track:60DcGRqdHMk9H3sat9bcHW,Keung To,黑月,Music Nation Records Co. Ltd.,1,3,26,246951,7,2024
4,spotify:track:2gQoBhLuUmJqelyTrZfkKD,陳卓賢 Ian,以孤獨命名,Music Nation Records Co. Ltd.,4,33,2,236749,7,2024
5,spotify:track:1xRMtDxiU8xxAlaDscHIoT,Keung To,濤,Music Nation Records Co. Ltd.,1,5,50,222665,7,2024
1,spotify:track:4pJWCkQnPeXfDyqouuBJ77,Anson Lo 盧瀚霆,Hey Hey OK!,Music Nation Records Co Ltd.,1,1,4,357292,8,2024
2,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Jimin,Who,BIGHIT MUSIC,2,2,3,349428,8,2024
3,spotify:track:1jQE96DjtfpWGjSqK6Gfnr,Keung To,好得太過份,Music Nation Records Co Ltd.,1,3,15,338038,8,2024
4,spotify:track:4ja627NyIBCz7wO2dYr83g,Keung To,岩巉,Music Nation Records Co Ltd.,1,4,37,301346,8,2024
5,spotify:track:60DcGRqdHMk9H3sat9bcHW,Keung To,黑月,Music Nation Records Co. Ltd.,1,5,30,278587,8,2024
1,spotify:track:1Y6JqAA9wRlgVMLpDnASah,Keung To,Every Single Time,Music Nation Records Co Ltd.,1,1,6,321361,9,2024
2,spotify:track:1jQE96DjtfpWGjSqK6Gfnr,Keung To,好得太過份,Music Nation Records Co Ltd.,1,2,20,304963,9,2024
3,spotify:track:4pJWCkQnPeXfDyqouuBJ77,Anson Lo 盧瀚霆,Hey Hey OK!,Music Nation Records Co Ltd.,1,4,9,272456,9,2024
4,spotify:track:4ja627NyIBCz7wO2dYr83g,Keung To,岩巉,Music Nation Records Co Ltd.,1,3,42,272415,9,2024
5,spotify:track:60DcGRqdHMk9H3sat9bcHW,Keung To,黑月,Music Nation Records Co. Ltd.,1,6,35,248557,9,2024
1,spotify:track:1Y6JqAA9wRlgVMLpDnASah,Keung To,Every Single Time,Music Nation Records Co Ltd.,1,1,10,287908,10,2024
2,spotify:track:1jQE96DjtfpWGjSqK6Gfnr,Keung To,好得太過份,Music Nation Records Co Ltd.,1,2,24,283985,10,2024
3,spotify:track:4ja627NyIBCz7wO2dYr83g,Keung To,岩巉,Music Nation Records Co Ltd.,1,3,46,246376,10,2024
4,spotify:track:4pJWCkQnPeXfDyqouuBJ77,Anson Lo 盧瀚霆,Hey Hey OK!,Music Nation Records Co Ltd.,1,5,13,234313,10,2024
5,spotify:track:60DcGRqdHMk9H3sat9bcHW,Keung To,黑月,Music Nation Records Co. Ltd.,1,4,39,233934,10,2024
1,spotify:track:5vNRhkKd0yEAg8suGBpjeY,ROSÉ /  Bruno Mars,APT.,Atlantic Records,1,1,3,694384,11,2024
2,spotify:track:1jQE96DjtfpWGjSqK6Gfnr,Keung To,好得太過份,Music Nation Records Co Ltd.,1,3,28,275819,11,2024
3,spotify:track:2N0SPREDYqILVEFSsWF5N5,V,Love Me Again,BIGHIT MUSIC,3,10,65,272368,11,2024
4,spotify:track:1Y6JqAA9wRlgVMLpDnASah,Keung To,Every Single Time,Music Nation Records Co Ltd.,1,4,14,267330,11,2024
5,spotify:track:2plbrEY59IikOBgBGLjaoe,Lady Gaga /  Bruno Mars,Die With A Smile,Interscope,5,5,12,246866,11,2024
1,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,ROSÉ /  Bruno Mars,APT.,Atlantic Records,1,2,8,498594,12,2024
2,spotify:track:50zAEIE4B1QqhPjRMK2Xmh,Jin,Running Wild,BIGHIT MUSIC,1,1,4,475364,12,2024
3,spotify:track:1z5ebC9238uGoBgzYyvGpQ,ROSÉ,toxic till the end,Atlantic Records,3,-1,1,386625,12,2024
4,spotify:track:7G7mSV4BebkoHWwKTDvXu9,V /  Park Hyo Shin,Winter Ahead (with PARK HYO SHIN),BIGHIT MUSIC,4,4,2,320949,12,2024
5,spotify:track:1lcBt7LoEikqYmhUoa2cez,ROSÉ,number one girl,Atlantic Records,3,6,3,307726,12,2024
