rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
2,spotify:track:5kHMfzgLZP95O9NBy0ku4v,Taylor Swift,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,2,-1,1,12639099,7,2023
3,spotify:track:7K3BhSpAxZBznislvUMVtn,Morgan Wallen,Last Night,Big Loud Records / Mercury Records / Republic Records,1,2,24,10126070,7,2023
4,spotify:track:7G0gBu6nLdhFDPRLc0HdDG,Taylor Swift,Mine (Taylor's Version),Taylor Swift,4,-1,1,9682908,7,2023
5,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,Gunna,fukumean,300 Entertainment,4,6,4,9631732,7,2023
1,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,Gunna,fukumean,300 Entertainment,1,5,8,10025980,8,2023
2,spotify:track:67nepsnrcZkowTxMWigSbb,Travis Scott /  Drake,MELTDOWN (feat. Drake),Cactus Jack/Epic,1,1,2,9351187,8,2023
3,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,3,18,39,9244543,8,2023
4,spotify:track:7K3BhSpAxZBznislvUMVtn,Morgan Wallen,Last Night,Big Loud Records / Mercury Records / Republic Records,1,11,28,9114260,8,2023
5,spotify:track:741UUVE2kuITl0c6zuqqbO,Nicki Minaj /  Ice Spice /  Aqua,Barbie World (with Aqua) [From Barbie The Album],Atlantic Records,2,6,7,8663732,8,2023
1,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,Doja Cat,Paint The Town Red,Kemosabe Records/RCA Records,1,2,5,13790982,9,2023
2,spotify:track:4KULAymBBJcPRpk1yO4dOG,Zach Bryan /  Kacey Musgraves,I Remember Everything (feat. Kacey Musgraves),Warner Records,1,1,2,12244026,9,2023
3,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,Gunna,fukumean,300 Entertainment,1,4,12,9048483,9,2023
4,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,6,43,8606034,9,2023
5,spotify:track:7K3BhSpAxZBznislvUMVtn,Morgan Wallen,Last Night,Big Loud Records / Mercury Records / Republic Records,1,9,32,8404818,9,2023
1,spotify:track:2YSzYUF3jWqb9YP9VXmpjE,Drake /  Yeat,IDGAF (feat. Yeat),OVO/Republic,1,-1,1,17861293,10,2023
2,spotify:track:7aqfrAY2p9BUSiupwk3svU,Drake /  J. Cole,First Person Shooter (feat. J. Cole),OVO/Republic,2,-1,1,17035610,10,2023
3,spotify:track:3eP13S8D5m2cweMEg3ZDed,Drake,Virginia Beach,OVO/Republic,3,-1,1,13546515,10,2023
4,spotify:track:2nibvvDdAQkVraYP00z2RS,Drake /  21 Savage,Calling For You (feat. 21 Savage),OVO/Republic,4,-1,1,10684850,10,2023
5,spotify:track:0AYt6NMyyLd0rLuvr0UkMH,Drake /  SZA,Slime You Out (feat. SZA),OVO/Republic,1,15,4,10554785,10,2023
1,spotify:track:1Iq8oo9XkmmvCQiGOfORiz,Taylor Swift,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1,1,2,12684567,11,2023
2,spotify:track:5KD6AEm19QnMbfWpfoOHMl,Taylor Swift,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,2,2,2,9574653,11,2023
3,spotify:track:4KULAymBBJcPRpk1yO4dOG,Zach Bryan /  Kacey Musgraves,I Remember Everything (feat. Kacey Musgraves),Warner Records,1,24,11,8187872,11,2023
4,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,Mitski,My Love Mine All Mine,Dead Oceans,4,22,8,8111941,11,2023
5,spotify:track:2YSzYUF3jWqb9YP9VXmpjE,Drake /  Yeat,IDGAF (feat. Yeat),OVO/Republic,1,13,5,7421468,11,2023
1,spotify:track:2EjXfH91m7f8HiJN1yQg97,Brenda Lee,Rockin' Around The Christmas Tree,MCA Nashville,1,1,49,14697961,12,2023
2,spotify:track:4xhsWYTOGcal8zt0J161CU,Jack Harlow,Lovin On Me,Generation Now/Atlantic,1,2,4,11120015,12,2023
3,spotify:track:0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,All I Want for Christmas Is You,Columbia,1,3,57,11042654,12,2023
4,spotify:track:6p1GHnHSJSma1orNgP7NoE,Bobby Helms,Jingle Bell Rock,Geffen,2,4,49,10804884,12,2023
5,spotify:track:06qMRF18gwbOYYbnP2du6i,Wham!,Last Christmas - Single Version,Sony Music CG,5,6,47,9266555,12,2023
1,spotify:track:4xhsWYTOGcal8zt0J161CU,Jack Harlow,Lovin On Me,Generation Now/Atlantic,1,1,9,11164849,1,2024
2,spotify:track:0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,Mercury Records/Republic Records,2,2,63,9553825,1,2024
3,spotify:track:4KULAymBBJcPRpk1yO4dOG,Zach Bryan /  Kacey Musgraves,I Remember Everything (feat. Kacey Musgraves),Warner Records,1,3,20,8171013,1,2024
4,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,Mitski,My Love Mine All Mine,Dead Oceans,3,6,17,7608571,1,2024
5,spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,RCA Records Label,4,5,17,7283403,1,2024
1,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",1,7,3,11372296,2,2024
2,spotify:track:0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,Mercury Records/Republic Records,2,4,67,10479567,2,2024
3,spotify:track:52eIcoLUM25zbQupAZYoFh,21 Savage,redrum,"Slaughter Gang, LLC/Epic Records",1,1,4,9783073,2,2024
4,spotify:track:4xhsWYTOGcal8zt0J161CU,Jack Harlow,Lovin On Me,Generation Now/Atlantic,1,2,13,9181119,2,2024
5,spotify:track:4KULAymBBJcPRpk1yO4dOG,Zach Bryan /  Kacey Musgraves,I Remember Everything (feat. Kacey Musgraves),Warner Records,1,5,24,8956651,2,2024
1,spotify:track:3w0w2T288dec0mgeZZqoNN,¥$ /  Kanye West /  Ty Dolla $ign,CARNIVAL,Ye,1,1,5,18139387,3,2024
2,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,Ariana Grande,we can't be friends (wait for your love),Republic Records,2,-1,1,16326356,3,2024
3,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",1,2,8,11595300,3,2024
4,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,End of Beginning,Djo,3,3,4,11557535,3,2024
5,spotify:track:0Lmbke3KNVFXtoH2mMSHCw,Ariana Grande,the boy is mine,Republic Records,5,-1,1,10435960,3,2024
1,spotify:track:0AjmK0Eai4zGrLaJwPvrDp,Hozier,Too Sweet,Columbia,1,2,3,22622634,4,2024
2,spotify:track:2tudvzsrR56uom6smgOcSf,Future /  Metro Boomin /  Kendrick Lamar,Like That,Wilburn Holding Co./Boominati/Epic/Republic,1,1,3,19043600,4,2024
3,spotify:track:2GxrNKugF82CnoRFbQfzPf,Artemas,i like the way you kiss me,Artemas,3,4,3,12472418,4,2024
4,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",1,5,12,11264986,4,2024
5,spotify:track:3w0w2T288dec0mgeZZqoNN,¥$ /  Kanye West /  Ty Dolla $ign,CARNIVAL,Ye,1,3,9,10776044,4,2024
1,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,Not Like Us,"Kendrick Lamar, under exclusive license to Interscope Records",1,-1,1,31689943,5,2024
2,spotify:track:7fzHQizxTqy8wTXwlrgPQQ,Tommy Richman,MILLION DOLLAR BABY,PULSE Records,2,8,2,29046883,5,2024
3,spotify:track:77DRzu7ERs0TX3roZcre7Q,Kendrick Lamar,euphoria,"Kendrick Lamar, under exclusive license to Interscope Records",3,10,2,26907009,5,2024
4,spotify:track:2qSkIjg1o9h3YT9RAgYN75,Sabrina Carpenter,Espresso,Island Records,1,1,4,20429043,5,2024
5,spotify:track:2FQrifJ1N335Ljm3TjTVVf,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,3,3,4,18607082,5,2024
1,spotify:track:5N3hjp1WNayUPZrA8kJmJP,Sabrina Carpenter,Please Please Please,Island Records,1,-1,1,29638960,6,2024
2,spotify:track:2qSkIjg1o9h3YT9RAgYN75,Sabrina Carpenter,Espresso,Island Records,1,6,9,23301994,6,2024
3,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,3,4,4,22088494,6,2024
4,spotify:track:7221xIgOnuakPdLqT0F3nP,Post Malone /  Morgan Wallen,I Had Some Help (Feat. Morgan Wallen),Mercury Records/Republic Records,1,1,5,19696248,6,2024
5,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,Not Like Us,"Kendrick Lamar, under exclusive license to Interscope Records",1,3,6,18079396,6,2024
1,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,Not Like Us,"Kendrick Lamar, under exclusive license to Interscope Records",1,2,10,18772026,7,2024
2,spotify:track:5N3hjp1WNayUPZrA8kJmJP,Sabrina Carpenter,Please Please Please,Island Records,1,1,5,16037099,7,2024
3,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,3,3,13,15369911,7,2024
4,spotify:track:2qSkIjg1o9h3YT9RAgYN75,Sabrina Carpenter,Espresso,Island Records,1,4,13,14271232,7,2024
5,spotify:track:7221xIgOnuakPdLqT0F3nP,Post Malone /  Morgan Wallen,I Had Some Help (Feat. Morgan Wallen),Mercury Records/Republic Records,1,5,9,14250615,7,2024
1,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,Good Luck /  Babe!,Chappell Roan PS/ Island,1,2,18,14452772,8,2024
2,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,2,4,12,13470717,8,2024
3,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Jimin,Who,BIGHIT MUSIC,3,3,3,13197537,8,2024
4,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,Not Like Us,"Kendrick Lamar, under exclusive license to Interscope Records",1,1,14,12649994,8,2024
5,spotify:track:7221xIgOnuakPdLqT0F3nP,Post Malone /  Morgan Wallen,I Had Some Help (Feat. Morgan Wallen),Mercury Records/Republic Records,1,5,13,12287463,8,2024
1,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,Island Records,1,1,3,16253020,9,2024
2,spotify:track:2plbrEY59IikOBgBGLjaoe,Lady Gaga /  Bruno Mars,Die With A Smile,Interscope,2,2,4,14319568,9,2024
3,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,Good Luck /  Babe!,Chappell Roan PS/ Island,1,6,23,12501070,9,2024
4,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,2,7,17,11955994,9,2024
5,spotify:track:2qSkIjg1o9h3YT9RAgYN75,Sabrina Carpenter,Espresso,Island Records,1,5,22,11106800,9,2024
1,spotify:track:2plbrEY59IikOBgBGLjaoe,Lady Gaga /  Bruno Mars,Die With A Smile,Interscope,1,2,8,12975101,10,2024
2,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,Island Records,1,3,7,12957882,10,2024
3,spotify:track:1Es7AUAhQvapIcoh3qMKDL,The Weeknd /  Playboi Carti,Timeless (feat. Playboi Carti),XO / Republic Records,1,1,2,11557401,10,2024
4,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,2,5,21,11156447,10,2024
5,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,Good Luck /  Babe!,Chappell Roan PS/ Island,1,4,27,11123745,10,2024
1,spotify:track:1QoyuMHNBe7lg3YW4Qtll4,Tyler /  The Creator /  Daniel Caesar,St. Chroma (feat. Daniel Caesar),Columbia,1,1,2,13809200,11,2024
2,spotify:track:3tFed7YsjGnIfxeLEQwx3R,Tyler /  The Creator /  GloRilla /  Sexyy Red /  Lil Wayne,Sticky (feat. GloRilla /  Sexyy Red & Lil Wayne),Columbia,2,5,2,12578869,11,2024
3,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",3,9,3,12220040,11,2024
4,spotify:track:2plbrEY59IikOBgBGLjaoe,Lady Gaga /  Bruno Mars,Die With A Smile,Interscope,1,7,12,10737116,11,2024
5,spotify:track:0VaeksJaXy5R1nvcTMh3Xk,Tyler /  The Creator /  Teezo Touchdown,Darling /  I (feat. Teezo Touchdown),Columbia,4,4,2,9906437,11,2024
1,spotify:track:2CGNAOSuO1MEFCbBRgUzjd,Kendrick Lamar /  SZA,luther (with sza),"pgLang, under exclusive license to Interscope Records",1,2,3,15046729,12,2024
2,spotify:track:2EjXfH91m7f8HiJN1yQg97,Brenda Lee,Rockin' Around The Christmas Tree,MCA Nashville,1,4,58,14735581,12,2024
3,spotify:track:0aB0v4027ukVziUGwVGYpG,Kendrick Lamar /  Lefty Gunplay,tv off (feat. lefty gunplay),"pgLang, under exclusive license to Interscope Records",1,1,3,13834169,12,2024
4,spotify:track:7vQbuQcyTflfCIOu3Uzzya,Bobby Helms,Jingle Bell Rock,Geffen,2,5,58,13207626,12,2024
5,spotify:track:0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,All I Want for Christmas Is You,Columbia,1,6,66,12160541,12,2024
