rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
173,"spotify:track:3X6QTmtaKukOu5lISJYi4g","Matteo Paolillo, Lolloflow, CLARA","ORIGAMI ALL'ALBA - CLARA","Flamingo Management",4,183,33,"378462"
174,"spotify:track:6nOxxnYoJAgsQFhGxlk32L","Rose Villain","IO, ME ED ALTRI GUAI","Warner Music",174,-1,1,"376477"
175,"spotify:track:4JajIgqHJAV0Neboj76fqG","Geolier","Vogl Sul A Te","Universal Music Italia srL.",55,170,13,"376168"
176,"spotify:track:6sLBJkMyZIkGevtpYgeotT","Ultimo","Piccola Stella","Honiro distribuito da Believe Distribution Services",15,166,116,"376074"
177,"spotify:track:7x9aauaA9cu6tyfpHnqDLo","Jung Kook, Latto","Seven (feat. Latto)","BIGHIT MUSIC",93,148,13,"374056"
178,"spotify:track:3elLXGwE5zaREuOzWdlRJ2","Ludwig","Domani ci passa","Ludwig Official",59,191,80,"373352"
179,"spotify:track:6qNXkVk19OYLu4CoqjDfZ0","Coez","Faccio un casino","Warner Music",7,195,98,"372507"
180,"spotify:track:3WIiRHg5qIPLXddhWTwpz7","Madame","ARANCIATA","Universal Music Italia srL. (Sugar)",54,119,18,"371259"
181,"spotify:track:59NraMJsLaMCVtwXTSia8i","cassö, RAYE, D-Block Europe","Prada","Ministry of Sound Recordings",151,175,3,"370681"
182,"spotify:track:5mTWk3bPUiGvALqNIWKAgu","Yung Snapp, ANNA","Shawty (feat. ANNA)","Warner Music",79,186,36,"370522"
183,"spotify:track:2pGbOFiWVwZaTq3iKi5sGb","Emis Killa, Sfera Ebbasta","ON FIRE - paid in full","Epic",1,159,21,"369882"
184,"spotify:track:7yJZlPui7PYh2L9UXmtQWc","Calcutta , Takagi & Ketra","Oroscopo (feat. Takagi & Ketra) - Ghost track","Bomba Dischi",132,168,37,"366625"
185,"spotify:track:2UW7JaomAMuX9pZrjVpHAU","Yng Lvcas, Peso Pluma","La Bebe - Remix","WM Mexico",64,161,25,"365995"
186,"spotify:track:71r3UlkV7sWvUYjas5paqi","Pinguini Tattici Nucleari","Scrivile Scemo","RCA Records Label",15,172,141,"364609"
187,"spotify:track:6LhPeOpKoX1SnqxDzrS64F","Geolier","MONEY","Columbia",6,-1,40,"364164"
188,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",131,169,9,"363772"
189,"spotify:track:24mzKw9LcwPNUMHSFAarvJ","Niky Savage, Blssd","WAO","Niky Savage",67,177,23,"363602"
190,"spotify:track:1yeB8MUNeLo9Ek1UEpsyz6","Drake, Sexyy Red, SZA","Rich Baby Daddy (feat. Sexyy Red & SZA)","OVO/Republic",190,-1,1,"361471"
191,"spotify:track:3YBWk0y7RjpqLCMJlsNPyZ","Annalisa","Bellissima","Warner Music",15,162,58,"359254"
192,"spotify:track:2FDTHlrBguDzQkp7PVj16Q","Dave, Central Cee","Sprinter","Neighbourhood / Live Yours",80,173,19,"358735"
193,"spotify:track:5dcyltc1ataieXIeTqhH3t","Frah Quintale, Giorgio Poi","Missili","Undamento",26,-1,57,"357796"
194,"spotify:track:16EJNayKtC09M0Fi7Py47s","BLANCO","Finché Non Mi Seppelliscono","Universal Music Italia srL.",2,-1,92,"356964"
195,"spotify:track:4Z43nMEiOiNeDrqu2BN0JD","Coez","La tua canzone","Carosello Records",25,-1,46,"356710"
196,"spotify:track:0w3Mfe4PIVjuFjJbe3OlYv","Drake","8am in Charlotte","OVO/Republic",196,-1,1,"356640"
197,"spotify:track:5UHHuxxYFnuE5KBbpl4Hzu","Måneskin","HONEY (ARE U COMING?)","Epic",41,171,6,"355622"
198,"spotify:track:0tn0i6zH7uEhRDrT0Yticv","Icy Subzero","EGO","Matteo D'Alessio",37,-1,60,"355352"
199,"spotify:track:7anzuQWuiCCULZhfJdXTyw","Shiva","Arsenico","Milano Ovest",32,179,18,"355054"
200,"spotify:track:6lrlFMu06aGPDH0phlCnct","Zero Assoluto","Per dimenticare","Lasugo S.r.l.",84,-1,11,"354874"
