rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
5,spotify:track:1zp4TEQ9zaNGXTjY6fsz1p,Capo Plaza /  ANNA,Soldi Arrotolati (feat. ANNA),Warner Music,5,-1,1,3248367,5,2024
1,spotify:track:2Q4Z2js0C6DDUVc7GuLGdF,Tony Effe /  Gaia,SESSO E SAMBA (feat. Gaia),Universal Music Italia srL.,1,17,2,6499769,6,2024
2,spotify:track:7kS2AVRk5Yj6BTj8PyJFfC,Ghali,Paprika,Warner Music,2,5,4,3942936,6,2024
3,spotify:track:0lXVWzLwDnKB7Ro5p0AJPg,Rose Villain /  Guè,COME UN TUONO (feat. Guè),Warner Music,1,3,13,3606758,6,2024
4,spotify:track:5LDmD4cFF0C8BCf3tVvyBW,Tedua /  Annalisa,Beatrice (feat. Annalisa),Epic,1,1,2,3577878,6,2024
5,spotify:track:6XjDF6nds4DE2BBbagZol6,FloyyMenor /  Cris Mj,Gata Only,FloyyMenor under exclusive license to UnitedMasters LLC,2,2,13,3449311,6,2024
1,spotify:track:19DHPlTC2gx1j4jrFzNbwL,ANNA,30ºC,Universal Music Italia srL.,1,1,10,4089344,8,2024
2,spotify:track:2Q4Z2js0C6DDUVc7GuLGdF,Tony Effe /  Gaia,SESSO E SAMBA (feat. Gaia),Universal Music Italia srL.,1,2,11,3889026,8,2024
3,spotify:track:7kS2AVRk5Yj6BTj8PyJFfC,Ghali,Paprika,Warner Music,2,5,13,2986045,8,2024
4,spotify:track:7sj9VfVtmcEZBDbRAsVXWY,ANNA /  Niky Savage,TT LE GIRLZ (feat. Niky Savage),Universal Music Italia srL.,4,4,6,2781236,8,2024
5,spotify:track:4ZRVI6xwgbjgW5SgJB468n,ANNA /  Artie 5ive,I LOVE IT (feat. Artie 5ive),Universal Music Italia srL.,3,3,6,2651699,8,2024
1,spotify:track:7sj9VfVtmcEZBDbRAsVXWY,ANNA /  Niky Savage,TT LE GIRLZ (feat. Niky Savage),Universal Music Italia srL.,1,1,11,3868274,9,2024
2,spotify:track:2ceJa7d62wQ3eRBK589ALG,Shiva /  Kid Yugi,Gotham (feat. Kid Yugi),Milano Ovest,2,-1,1,3861584,9,2024
3,spotify:track:3sdvDRHwSpuKUehwVYxHcG,Shiva,Take 5,Milano Ovest,3,3,3,3097147,9,2024
4,spotify:track:19DHPlTC2gx1j4jrFzNbwL,ANNA,30ºC,Universal Music Italia srL.,1,2,15,2865469,9,2024
5,spotify:track:5kQwHYmtLVJaBwh6NqD4JW,Shiva,Milano Angels,Milano Ovest,5,-1,1,2611087,9,2024
1,spotify:track:7sj9VfVtmcEZBDbRAsVXWY,ANNA /  Niky Savage,TT LE GIRLZ (feat. Niky Savage),Universal Music Italia srL.,1,2,15,2928437,10,2024
2,spotify:track:5mKHtB2OGDXzbsInzW7veZ,Olly /  Angelina Mango /  JVLI,Per due come noi,Epic,2,4,5,2802033,10,2024
3,spotify:track:4CNfC20TImtjdwN3dG0uCF,Lazza /  Lil Baby,CANZONE D'ODIO (feat. Lil Baby),Universal Music Italia srL.,1,1,3,2453074,10,2024
4,spotify:track:2ceJa7d62wQ3eRBK589ALG,Shiva /  Kid Yugi,Gotham (feat. Kid Yugi),Milano Ovest,2,5,5,2310849,10,2024
5,spotify:track:4kDi7X5sgqF0aM74aPBWSc,Lazza /  Sfera Ebbasta,FENTANYL (feat. Sfera Ebbasta),Universal Music Italia srL.,1,3,3,2199631,10,2024
