rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
1,spotify:track:4dLLdfiniBhDP9dlJQIOi4,Los Ángeles Azules /  Emilia,Perdonarte /  ¿Para Qué?,OCESA Seitrack,1,5,2,4702393,6,2024
2,spotify:track:7D7CiwAGCkGi9sQYyCLhxh,The La Planta,HOY,TLP Records,2,12,3,2795962,6,2024
3,spotify:track:3sra6aEWWDXUiy46fWQobH,Maria Becerra,IMAN (Two Of Us),WEA Latina,3,6,3,2492455,6,2024
4,spotify:track:2RmtEc2ZNDCzAU3vH0AbKx,Nicki Nicole,Ojos Verdes,Sony Music Latin/DALE PLAY Records,4,4,6,2454185,6,2024
5,spotify:track:5rQSQlZXXjMcevPGoAfE1z,Salastkbron /  Diel Paris,Un Besito Más,WEA Latina,2,3,12,2403078,6,2024
1,spotify:track:1pymWRCuZfCd0zdiBJo0Hj,Trueno,REAL GANGSTA LOVE,Sony Music Latin,1,1,7,3550479,7,2024
2,spotify:track:0SoBfYjQHvL6cuWHtPUYnq,Valentino Merlo /  The La Planta,Hoy,TLP Records,2,3,7,3109351,7,2024
3,spotify:track:4dLLdfiniBhDP9dlJQIOi4,Los Ángeles Azules /  Emilia,Perdonarte /  ¿Para Qué?,OCESA Seitrack,1,2,7,3040123,7,2024
4,spotify:track:5OwAhFlvFZ4ZdGDfroYgAm,Big One /  Maria Becerra /  Trueno,Cuando Te Vi | CROSSOVER #5,Fifty One,4,4,2,2905760,7,2024
5,spotify:track:3cWo162YkfLIFyB3DWbVoH,Q' Lokura /  Valentino Merlo,Tu Foto - En Vivo,Q' Lokura,1,6,8,2098995,7,2024
1,spotify:track:0SoBfYjQHvL6cuWHtPUYnq,Valentino Merlo /  The La Planta,Hoy,TLP Records,1,1,11,3122325,8,2024
2,spotify:track:4dLLdfiniBhDP9dlJQIOi4,Los Ángeles Azules /  Emilia,Perdonarte /  ¿Para Qué?,OCESA Seitrack,1,2,11,2819387,8,2024
3,spotify:track:1pymWRCuZfCd0zdiBJo0Hj,Trueno,REAL GANGSTA LOVE,Sony Music Latin,1,3,11,2760248,8,2024
4,spotify:track:2AFC9ad4nGauS1cgm7FCqU,Luck Ra /  Chayanne,UN SIGLO SIN TI,Sony Music Latin,4,6,2,2668204,8,2024
5,spotify:track:3KeYEr9ogMBemsOfQIJmZp,Big One /  Maria Becerra /  Trueno,Cuando Te Vi | CROSSOVER #5,Fifty One,2,4,6,2663860,8,2024
1,spotify:track:6WatFBLVB0x077xWeoVc2k,KAROL G,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,1,1,12,3072192,9,2024
2,spotify:track:0SoBfYjQHvL6cuWHtPUYnq,Valentino Merlo /  The La Planta,Hoy,TLP Records,1,2,16,2655823,9,2024
3,spotify:track:4dLLdfiniBhDP9dlJQIOi4,Los Ángeles Azules /  Emilia,Perdonarte /  ¿Para Qué?,OCESA Seitrack,1,3,16,2396229,9,2024
4,spotify:track:0c82YIGpQ5dCaXpTNCk4sb,Tiago PZK /  Anitta /  Emilia,Alegría,WEA Latina,4,4,5,2374843,9,2024
5,spotify:track:5DSMm0BZXlSvqArsTX00Ge,Luck Ra /  Nicki Nicole,DOCTOR,Sony Music Latin,5,9,2,2291594,9,2024
1,spotify:track:6WatFBLVB0x077xWeoVc2k,KAROL G,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,1,4,16,2848487,10,2024
2,spotify:track:0EVxchTHYIgx618OrpcrdQ,Maria Becerra,AGORA,WEA Latina,2,3,4,2802638,10,2024
3,spotify:track:0c82YIGpQ5dCaXpTNCk4sb,Tiago PZK /  Anitta /  Emilia,Alegría,WEA Latina,1,1,9,2587119,10,2024
4,spotify:track:0Sr7ssScx54yxdM2ols7nW,Omar Courtz /  De La Rose,Q U E V A S H A C E R H O Y ?,Mr. 305 Records / Rimas Entertainment,4,19,2,2504286,10,2024
5,spotify:track:5AkLEnorFvb7WIJOGqKYVT,Big One /  Emanero /  Valentino Merlo,Si Un Día Estás Sola | CROSSOVER #7,Fifty One,5,5,5,2460686,10,2024
1,spotify:track:03IpZ9yqJlo3EIgDQUgBSF,Duki /  Myke Towers,Nueva Era,DALE PLAY Records / SSJ Records,1,-1,1,2968609,11,2024
2,spotify:track:0c82YIGpQ5dCaXpTNCk4sb,Tiago PZK /  Anitta /  Emilia,Alegría,WEA Latina,1,1,13,2207120,11,2024
3,spotify:track:7yrTny7FLWLbfIzsxoicWj,Emilia,noviogangsta <3,Sony Music Latin,2,2,4,2188978,11,2024
4,spotify:track:5MKbWaXeSQSmzmo7gPQha1,La T y La M /  Malandro,Amor de Vago,GraceMusic,4,8,9,2184425,11,2024
5,spotify:track:6WatFBLVB0x077xWeoVc2k,KAROL G,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,1,4,20,1996397,11,2024
1,spotify:track:5MKbWaXeSQSmzmo7gPQha1,La T y La M /  Malandro,Amor de Vago,GraceMusic,1,1,14,2006019,12,2024
2,spotify:track:6WatFBLVB0x077xWeoVc2k,KAROL G,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,1,3,25,1991039,12,2024
3,spotify:track:0qeIFEGRQqHoaJtLCl0U73,Myke Towers /  benny blanco,DEGENERE 👑 (feat. benny blanco),WEA Latina,3,4,8,1972220,12,2024
4,spotify:track:0c82YIGpQ5dCaXpTNCk4sb,Tiago PZK /  Anitta /  Emilia,Alegría,WEA Latina,1,2,18,1863423,12,2024
5,spotify:track:6kPCcIAGoTeRrh8qrmKa90,Tiago PZK /  Ke Personajes,Piel,WEA Latina,2,8,45,1645891,12,2024
