rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
4,spotify:track:0M0ANKNzmM4Odd7FNKghzW,Mitraz,"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",T-Series,2,2,15,4793717,5,2024
5,spotify:track:3yHyiUDJdz02FZ6jfUbsmY,Arijit Singh /  Shreyas Puranik /  Siddharth - Garima,"Satranga (From ""ANIMAL"")",T-Series,2,3,28,4674961,5,2024
1,spotify:track:5zCnGtCl5Ac5zlFHXaZmhy,Ram Sampath /  Arijit Singh /  Prashant Pandey,"Sajni (From ""Laapataa Ladies"")",T-Series,1,1,6,9505857,6,2024
2,spotify:track:34Fh4HXZmnuBdtgejWUZg2,Mohammad Faiz /  Jaani,"Dekhha Tenu (From ""Mr. And Mrs. Mahi"")",Sony Music Entertainment India Pvt. Ltd.,2,2,4,7143058,6,2024
3,spotify:track:1tf2iody5iRLYYPDSBpzRc,Badshah /  Arijit Singh,Soulmate,Universal Music India Pvt Ltd.,2,4,12,4751724,6,2024
4,spotify:track:3yHyiUDJdz02FZ6jfUbsmY,Arijit Singh /  Shreyas Puranik /  Siddharth - Garima,"Satranga (From ""ANIMAL"")",T-Series,2,5,33,4699818,6,2024
5,spotify:track:1a1xLj9W8libnO9PvJf6ao,Sushin Shyam /  Dabzee /  Vinayak Sasikumar,Illuminati,Think Music,3,3,10,4478059,6,2024
1,spotify:track:5zCnGtCl5Ac5zlFHXaZmhy,Ram Sampath /  Arijit Singh /  Prashant Pandey,"Sajni (From ""Laapataa Ladies"")",T-Series,1,1,10,7700878,7,2024
2,spotify:track:16kiQQ4BoLHDyj5W2fkfNK,Karan Aujla,"Tauba Tauba (From ""Bad Newz"")",Saregama India Ltd,2,-1,1,7558961,7,2024
3,spotify:track:0MTdYgTZ25sLCO6kVnDoje,Sai Abhyankkar /  Sai Smriti,"Aasa Kooda - From ""Think Indie",Think Music,3,5,3,5428814,7,2024
4,spotify:track:1r6GbBLdtUK1Vl1IHT14wP,Mohammad Faiz /  Jaani,"Dekhha Tenu (From ""Mr. And Mrs. Mahi"")",Sony Music Entertainment India Pvt. Ltd.,2,2,8,5331212,7,2024
5,spotify:track:0XRb6eZE4dBIJdqwf1Mixu,Juss /  MixSingh,Suniyan Suniyan,Mix It Up Studio,3,3,8,5119052,7,2024
1,spotify:track:25Nxyrng0Z3jC5Q0hAibpw,Karan Aujla,"Tauba Tauba (From ""Bad Newz"")",Saregama India Ltd,1,1,5,6704771,8,2024
