rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7ME2ZENU0G5H7IlnPbWvOv","Mahmoud El Leithy, Essam Sasa","سيبك من اللي خلع - من فيلم حمص وحلاوة","El Sobky proudctions",1,1,5,"498410"
2,"spotify:track:3WOiSsqfXPZAtGTr2PFj6S","Ilmond","Yazmeely","Muhab",2,3,15,"232596"
3,"spotify:track:4Vm5J277k6HH6CNZEZXAE9","Reda El Bahrawy, Muslim","لفينا الدنيا","Sony Music Entertainment",2,2,19,"231214"
4,"spotify:track:7qnR06N2Ekj9iBOQHiFqdq","Essam Sasa","مسا مني ليكوا","Krakeb Entertainment",1,4,43,"221950"
5,"spotify:track:5kdlxZ5skOYY3VK8RlfEIZ","Wegz","البخت","Takwene",1,8,89,"220109"
6,"spotify:track:4Guq7XrO1FjduwFBsVbr0E","Ramy Sabry","يمكن خير","Ramy Sabry",2,6,44,"219102"
7,"spotify:track:7FhwM9XJeuVHbmpOcuZxxs","Essam Sasa","نص سيطو مني ( احنا صحاب بلادنا )","Essam Sasa",3,5,21,"211640"
8,"spotify:track:5ltxZlXp4kBQHSPjqbjJ8Q","Rajieen, Saif safadi, Dana Salah, Ghaliaa, Afroto, NORDO, Shroof, Akhras, Issam Alnajjar, Balti, Amir Eid, Wessam Qutob, Dina El Wedidi, Bataineh, Omar Rammal, Alyoung, Randar, Vortex, Smallx, A.L.A, Fuad Gritli, Donia Wael, zeyne, Marwan Moussa, Marwan Pablo, Dafencii","Rajieen (feat. Saif Safadi, Dana Salah, Ghaliaa, Afroto, NORDO, Shroof, A5rass - الاخرس, Issam Alnajjar, Balti, Amir Eid, Wessam Qutob, Dina El Wedidi, Bataineh, Omar Rammal, Alyoung, Randar, Vortex, Smallx, A.L.A, Fuad Gritli, Donia Wael, zeyne, Marwan Moussa, Marwan Pablo & Dafencii)","Rajieen",8,-1,1,"204573"
9,"spotify:track:6g95dK7o7vVh8ZCnDAseU5","Sherine","كلام عينيه","Sherine Abd El-wahab",9,14,10,"203029"
10,"spotify:track:68WRDAU8QecpIyasp2BEby","Muslim - مُسلِم","Aleb Fel Dafater","Global",2,12,46,"200681"
11,"spotify:track:3ilp9U50Ak4CKkS7jdCY4L","Ahmed Saad","اختياراتي - من فيلم مستر إكس","El Sobky proudctions",1,7,21,"199762"
12,"spotify:track:5hCAs0OsDpCy6kZxEAI3aw","Ahmed Saad, Ruby","Ya Layaly","Global",3,9,16,"199742"
13,"spotify:track:71lgZsFMawXgnG4vcICNbS","Nawal","مخصماك","Nawal abdechaffi",1,10,21,"197555"
14,"spotify:track:6yVGUtmHwDsqqXs1Lak423","Tamer Ashour","Khaleny Fe Hodnak","Tamer Ashour",14,19,94,"194635"
15,"spotify:track:4vIbws1xp082bv0zl8vLaJ","Cairokee","Basrah w Atooh","Cairokee-Roma",4,15,59,"192395"
16,"spotify:track:08yqfVX2AXNzrq6xlaGB3h","Hamza Namira","Reyah El Hayah","NAMIRA PRODUCTIONS",4,11,14,"192203"
17,"spotify:track:3g4p8OgtpxHpEHzEjnRo6J","Muslim - مُسلِم","Mesh Nadman","Global",7,13,97,"189567"
18,"spotify:track:6382iMgZk6yyPg3htCkpB5","Muslim - مُسلِم","Abl Mawsalek","Global",18,18,106,"183612"
19,"spotify:track:0SbObewB36qKLWcaxMntej","Farid","بأمارة مين","New Era",2,16,58,"179591"
20,"spotify:track:3ST6FyGv2gHjpjm3hCkPon","Maha Ftouni","El Sabr Gamel - الصبر جميل","Maha Ftouni",4,17,27,"178920"
21,"spotify:track:7GdTv7oq8wMIEHm6ZO3C5w","Karim Cristiano","قراميط قراميط و الهلافيت عاملين مظابيط ( صحبي اللي اداك يدينا )","Karim Cristiano",6,20,23,"167210"
22,"spotify:track:0Kb87SCKl8pFyKm0yD9TYf","Mohamed Mounir","لِلّي","Ideology",5,24,68,"166960"
23,"spotify:track:5uY9sxUgX1EarWZXCKdzzu","Karim Cristiano","شارع الحياه مش هو هو - كنت اسد بس الحسد","Karim Cristiano",19,22,8,"165167"
24,"spotify:track:00TO3hVgOAgfKrRjrKEZxx","Afroto","7ALA","The Basement Records",4,21,45,"163888"
25,"spotify:track:0Oz1kaka4qeWhjntOZTRFv","Ahmed Kamel","Baad El Kalam","Global",8,23,38,"163075"
26,"spotify:track:0PTlHYXWyCeayIw3Tpafdl","Essam Sasa","عره فافي عامل مغامر - بت انتي حب حياتي","Essam Saasa",3,28,68,"159562"
27,"spotify:track:0St4yTM6hCeEmguD3Orcrt","Mohammed Saeed","Alo Aleky","Mohammed Saeed",1,-1,50,"155947"
28,"spotify:track:7wue5LasVYYkXBBmblfavk","Bahaa Sultan","El Dalaa","Telecom Egypt",22,31,16,"155851"
29,"spotify:track:2KslE17cAJNHTsI2MI0jb2","Jung Kook","Standing Next to You","BIGHIT MUSIC",29,-1,1,"155504"
30,"spotify:track:0TnD2vJ9M91YXbBQqhK8lU","Wael Jassar","ظروف معنداني","Sharqi Production",19,26,38,"154363"
31,"spotify:track:15lgnDg0wa4gXWpts60aOF","Marwan Moussa","7OB KHENA2","The Basement Records",3,25,10,"149817"
32,"spotify:track:5BiSAqXhrMRoxvDd34vBXT","Ramy Sabry","لما بيوحشني","Ramy Sabry",32,32,27,"149738"
33,"spotify:track:1VfR7wqvEB9vQZrpizMRmf","Bahaa Sultan","براحة يا شيخة","Sony Music Entertainment",4,29,41,"149061"
34,"spotify:track:5o7YSTsbNeo98lSacuNIi5","Double Zuksh","Salt El Zein - صلاة الزين","The Basement Records",5,27,28,"143463"
35,"spotify:track:4bya2rNB4cyEkLNYqGJRwv","Amr Diab","وهي ذكريات","Rotana Music",35,43,31,"141308"
36,"spotify:track:2FtwA6cVlrYeJzN8lCiwHS","Mohamed Ramadan, Skales","Come Baby Come","Rotana Music",3,30,29,"140625"
